Molecule: ./Results/normal_sim_a1.txt 
Step: ['add'], Previous ligand: c1ccccc1, Changed ligand: Pc1ccccc1, New ligand: Pc1ccccc1 
Step: ['add'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN, Changed ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC(C)CN, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN 
Step: ['add'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN, Changed ligand: C=C(C=c1c(=C)c(C)c(PN)c(=C)c1=C)NCCCC(=O)OCCN, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN 
Step: ['turn ring aromatic'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN, Changed ligand: C=C(C=C1C(=C)CC(PN)C(C)C1C)NCCCC(=O)OCCN, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN 
Step: ['change type'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN, Changed ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN 
Step: ['add'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN, Changed ligand: C=C(NCCCC(=O)OCCN)C(N)=c1c(C)c(C)c(PN)cc1=C, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN 
Step: ['change bond type'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN, Changed ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN 
Step: ['remove'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN, Changed ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCC(=O)OCCN, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCC(=O)OCCN 
Step: ['add'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCC(=O)OCCN, Changed ligand: C=C(NCCC(=O)OCCN)C(O)=c1c(C)c(C)c(PN)cc1=C, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCC(=O)OCCN 
Step: ['switch'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCC(=O)OCCN, Changed ligand: C=C(Cc1c(C)cc(PN)c(CC)c1C)NCCC(=O)OCCN, New ligand: C=C(Cc1c(C)cc(PN)c(CC)c1C)NCCC(=O)OCCN 
Step: ['add'], Previous ligand: C=C(Cc1c(C)cc(PN)c(CC)c1C)NCCC(=O)OCCN, Changed ligand: C=C(Cc1c(C)cc(PN)c(CC)c1C)NCC(=O)C(=O)OCCN, New ligand: C=C(Cc1c(C)cc(PN)c(CC)c1C)NCC(=O)C(=O)OCCN 
