Molecule: ./Results/normal_sim_a2.txt 
Step: ['switch'], Previous ligand: CC1=C(F)C=CC(C=CSSS)=CC1, Changed ligand: CC1=C(F)C=CC(NC=CSSS)=CC1, New ligand: CC1=C(F)C=CC(C=CSSS)=CC1 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(C=CSSS)=CC1, Changed ligand: CC1=C(F)C=CC(C=CSSS)=CC1C, New ligand: CC1=C(F)C=CC(C=CSSS)=CC1C 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(C=CSSS)=CC1C, Changed ligand: CC1=C(F)C=CC(C=CSS[SH]=S)=CC1C, New ligand: CC1=C(F)C=CC(C=CSSS)=CC1C 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(C=CSSS)=CC1C, Changed ligand: CC1=C(F)C=CC(C=CS(=N)SS)=CC1C, New ligand: CC1=C(F)C=CC(C=CSSS)=CC1C 
Step: ['remove ring'], Previous ligand: CC1=C(F)C=CC(C=CSSS)=CC1C, Changed ligand: CCC(C)CC(CCCF)CCSSS, New ligand: CC1=C(F)C=CC(C=CSSS)=CC1C 
Step: ['remove ring'], Previous ligand: CC1=C(F)C=CC(C=CSSS)=CC1C, Changed ligand: CC(CCSSS)CC(C)C(C)C(C)F, New ligand: CC1=C(F)C=CC(C=CSSS)=CC1C 
Step: ['switch'], Previous ligand: CC1=C(F)C=CC(C=CSSS)=CC1C, Changed ligand: CC1=C(SF)C=CC(C=CSSS)=CC1C, New ligand: CC1=C(F)C=CC(C=CSSS)=CC1C 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(C=CSSS)=CC1C, Changed ligand: CC1C=C(C=CSSS)C=CC(F)=C1CO, New ligand: CC1C=C(C=CSSS)C=CC(F)=C1CO 
Step: ['switch'], Previous ligand: CC1C=C(C=CSSS)C=CC(F)=C1CO, Changed ligand: CC1C=C(C=CSSS)C=CC(F)=C1CCO, New ligand: CC1C=C(C=CSSS)C=CC(F)=C1CCO 
Step: ['remove'], Previous ligand: CC1C=C(C=CSSS)C=CC(F)=C1CCO, Changed ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, New ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO 
Step: ['add'], Previous ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, Changed ligand: CCCC(=CC1=CC(C)C(CCO)=C(F)C=C1)SS, New ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO 
Step: ['change type'], Previous ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, Changed ligand: CC1C=C(C=CSS)C=CC(F)=C1PCO, New ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO 
Step: ['remove'], Previous ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, Changed ligand: CC1C=C(C=CS)C=CC(F)=C1CCO, New ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO 
Step: ['add'], Previous ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, Changed ligand: CC1C(P)=C(C=CSS)C=CC(F)=C1CCO, New ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO 
Step: ['add'], Previous ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, Changed ligand: CCC=C(O)CC1=C(F)C=CC(C=CSS)=CC1C, New ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO 
Step: ['remove'], Previous ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, Changed ligand: CC1C=C(CSS)C=CC(F)=C1CCO, New ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO 
Step: ['add'], Previous ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, Changed ligand: CC1C=C(C=C[SH](C)S)C=CC(F)=C1CCO, New ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO 
Step: ['add'], Previous ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, Changed ligand: CC1C=C(C=CS(=S)S)C=CC(F)=C1CCO, New ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO 
