Molecule: ./Results/1di9 
Step: remove fragment, Previous ligand: [14*]c1ncnc2cc([16*])c([16*])cc12, New ligand: [14*]c1ncnc2cc([16*])c([16*])cc12, Score: 0.27161073825503357 
Step: add fragment, Previous ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3OC)c([16*])cc12, New ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3OC)c([16*])cc12, Score: 0.5977248626241204 
Step: remove fragment, Previous ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3OC)c([16*])cc12, New ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3OC)c([16*])cc12, Score: 0.5977248626241204 
Step: add fragment, Previous ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3OC)c([16*])cc12, New ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3OC)c([16*])cc12, Score: 0.5977248626241204 
Step: add fragment, Previous ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3OC)c([16*])cc12, New ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3OC)c([16*])cc12, Score: 0.5977248626241204 
Step: add fragment, Previous ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3OC)c([16*])cc12, New ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3OC)c([16*])cc12, Score: 0.5977248626241204 
Step: remove fragment, Previous ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3OC)c([16*])cc12, New ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3[16*])c([16*])cc12, Score: 0.5071747684842747 
Step: add fragment, Previous ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3[16*])c([16*])cc12, New ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3[16*])c(-c3cccc([16*])c3)cc12, Score: 0.4139569536423841 
Step: remove fragment, Previous ligand: [5*]Nc1ncnc2cc(-c3cc4c([14*])ncnc4cc3[16*])c(-c3cccc([16*])c3)cc12, New ligand: [5*]Nc1ncnc2cc([16*])c(-c3cccc([16*])c3)cc12, Score: 0.4656283078784213 
Step: add fragment, Previous ligand: [5*]Nc1ncnc2cc([16*])c(-c3cccc([16*])c3)cc12, New ligand: [5*]Nc1ncnc2cc([16*])c(-c3cccc([16*])c3)cc12, Score: 0.4656283078784213 
Step: add fragment, Previous ligand: [5*]Nc1ncnc2cc([16*])c(-c3cccc([16*])c3)cc12, New ligand: [5*]Nc1ncnc2cc(SC)c(-c3cccc([16*])c3)cc12, Score: 0.5505220125786164 
Step: add fragment, Previous ligand: [5*]Nc1ncnc2cc(SC)c(-c3cccc([16*])c3)cc12, New ligand: [14*]c1ncnc2cc([16*])c(Nc3ncnc4cc(SC)c(-c5cccc([16*])c5)cc34)cc12, Score: 0.5254982864742289 
Step: remove fragment, Previous ligand: [14*]c1ncnc2cc([16*])c(Nc3ncnc4cc(SC)c(-c5cccc([16*])c5)cc34)cc12, New ligand: [14*]c1ncnc2cc([16*])c(Nc3ncnc4cc(SC)c(-c5cccc([16*])c5)cc34)cc12, Score: 0.5254982864742289 
Step: add fragment, Previous ligand: [14*]c1ncnc2cc([16*])c(Nc3ncnc4cc(SC)c(-c5cccc([16*])c5)cc34)cc12, New ligand: [16*]c1cccc(-c2cc3c(Nc4cc5c(OC)ncnc5cc4[16*])ncnc3cc2SC)c1, Score: 0.5633302383163107 
Step: remove fragment, Previous ligand: [16*]c1cccc(-c2cc3c(Nc4cc5c(OC)ncnc5cc4[16*])ncnc3cc2SC)c1, New ligand: [16*]c1cc2ncnc(OC)c2cc1Nc1ncnc2cc(SC)c([16*])cc12, Score: 0.6859215807347946 
Step: remove fragment, Previous ligand: [16*]c1cc2ncnc(OC)c2cc1Nc1ncnc2cc(SC)c([16*])cc12, New ligand: [16*]c1cc2ncnc(OC)c2cc1Nc1ncnc2cc(SC)c([16*])cc12, Score: 0.6859215807347946 
Step: add fragment, Previous ligand: [16*]c1cc2ncnc(OC)c2cc1Nc1ncnc2cc(SC)c([16*])cc12, New ligand: [16*]c1cc2c(Nc3cc4c(OC)ncnc4cc3SC)ncnc2cc1SC, Score: 0.6765578871778506 
