Molecule: ./Results/3iw7 
Step: remove fragment, Previous ligand: [16*]c1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.11574626865671642 
Step: remove fragment, Previous ligand: [15*]C1CCN(C(=O)c2ccc(C3CCN(c4ccccc4)CC3)cc2)CC1, New ligand: [15*]C1CCN(C(=O)c2ccc(C3CCN(c4ccccc4)CC3)cc2)CC1, Score: 0.5955110820162722 
Step: remove fragment, Previous ligand: [15*]C1CCN(C(=O)c2ccc(C3CCN(c4ccccc4)CC3)cc2)CC1, New ligand: [15*]C1CCN(C(=O)c2ccc(C3CCN(c4ccccc4)CC3)cc2)CC1, Score: 0.5955110820162722 
Step: add fragment, Previous ligand: [15*]C1CCN(C(=O)c2ccc(C3CCN(c4ccccc4)CC3)cc2)CC1, New ligand: O=C(c1ccc(C2CCN(c3ccccc3)CC2)cc1)N1CCC(CS)CC1, Score: 0.5818251118377501 
Step: remove fragment, Previous ligand: O=C(c1ccc(C2CCN(c3ccccc3)CC2)cc1)N1CCC(CS)CC1, New ligand: O=C(c1ccc(C2CCN(c3ccccc3)CC2)cc1)N1CCC(CS)CC1, Score: 0.5818251118377501 
Step: remove fragment, Previous ligand: O=C(c1ccc(C2CCN(c3ccccc3)CC2)cc1)N1CCC(CS)CC1, New ligand: [5*]N1CCC(c2ccc(C(=O)N3CCC(CS)CC3)cc2)CC1, Score: 0.5511900826446281 
Step: remove fragment, Previous ligand: [5*]N1CCC(c2ccc(C(=O)N3CCC(CS)CC3)cc2)CC1, New ligand: [5*]N1CCC(c2ccc(C(=O)N3CCC(CS)CC3)cc2)CC1, Score: 0.5511900826446281 
Step: add fragment, Previous ligand: [5*]N1CCC(c2ccc(C(=O)N3CCC(CS)CC3)cc2)CC1, New ligand: O=C(c1ccc(C2CCN(c3ccccc3)CC2)cc1)N1CCC(CS)CC1, Score: 0.5818251118377501 
Step: remove fragment, Previous ligand: O=C(c1ccc(C2CCN(c3ccccc3)CC2)cc1)N1CCC(CS)CC1, New ligand: [1*]C(=O)c1ccc(C2CCN(c3ccccc3)CC2)cc1, Score: 0.5721640106465417 
Step: add fragment, Previous ligand: [1*]C(=O)c1ccc(C2CCN(c3ccccc3)CC2)cc1, New ligand: [15*]C1CCN(C(=O)c2ccc(C3CCN(c4ccccc4)CC3)cc2)CC1, Score: 0.5955110820162722 
Step: add fragment, Previous ligand: [15*]C1CCN(C(=O)c2ccc(C3CCN(c4ccccc4)CC3)cc2)CC1, New ligand: [1*]C(=O)C1CCN(C(=O)c2ccc(C3CCN(c4ccccc4)CC3)cc2)CC1, Score: 0.558470478280304 
Step: add fragment, Previous ligand: [1*]C(=O)C1CCN(C(=O)c2ccc(C3CCN(c4ccccc4)CC3)cc2)CC1, New ligand: [15*]C1CCN(C(=O)C2CCN(C(=O)c3ccc(C4CCN(c5ccccc5)CC4)cc3)CC2)CC1, Score: 0.46409090909090905 
Step: add fragment, Previous ligand: [15*]C1CCN(C(=O)C2CCN(C(=O)c3ccc(C4CCN(c5ccccc5)CC4)cc3)CC2)CC1, New ligand: [8*]CC1CCN(C(=O)C2CCN(C(=O)c3ccc(C4CCN(c5ccccc5)CC4)cc3)CC2)CC1, Score: 0.439979291302347 
Step: add fragment, Previous ligand: [8*]CC1CCN(C(=O)C2CCN(C(=O)c3ccc(C4CCN(c5ccccc5)CC4)cc3)CC2)CC1, New ligand: [8*]CC1CCN(C(=O)C2CCN(C(=O)c3ccc(C4CCN(c5ccccc5)CC4)cc3)CC2)CC1, Score: 0.439979291302347 
Step: add fragment, Previous ligand: [8*]CC1CCN(C(=O)C2CCN(C(=O)c3ccc(C4CCN(c5ccccc5)CC4)cc3)CC2)CC1, New ligand: [8*]CC1CCN(C(=O)C2CCN(C(=O)c3ccc(C4CCN(c5ccccc5)CC4)cc3)CC2)CC1, Score: 0.439979291302347 
Step: add fragment, Previous ligand: [8*]CC1CCN(C(=O)C2CCN(C(=O)c3ccc(C4CCN(c5ccccc5)CC4)cc3)CC2)CC1, New ligand: [5*]N1CCC(CC2CCN(C(=O)C3CCN(C(=O)c4ccc(C5CCN(c6ccccc6)CC5)cc4)CC3)CC2)CC1, Score: 0.371557221692828 
Step: add fragment, Previous ligand: [5*]N1CCC(CC2CCN(C(=O)C3CCN(C(=O)c4ccc(C5CCN(c6ccccc6)CC5)cc4)CC3)CC2)CC1, New ligand: [6*]C(=O)N1CCC(CC2CCN(C(=O)C3CCN(C(=O)c4ccc(C5CCN(c6ccccc6)CC5)cc4)CC3)CC2)CC1, Score: 0.361370086699584 
Step: add fragment, Previous ligand: [6*]C(=O)N1CCC(CC2CCN(C(=O)C3CCN(C(=O)c4ccc(C5CCN(c6ccccc6)CC5)cc4)CC3)CC2)CC1, New ligand: [5*]N1CCC(C(=O)N2CCC(CC3CCN(C(=O)C4CCN(C(=O)c5ccc(C6CCN(c7ccccc7)CC6)cc5)CC4)CC3)CC2)CC1, Score: 0.29819658200358795 
Step: remove fragment, Previous ligand: [5*]N1CCC(C(=O)N2CCC(CC3CCN(C(=O)C4CCN(C(=O)c5ccc(C6CCN(c7ccccc7)CC6)cc5)CC4)CC3)CC2)CC1, New ligand: [15*]C1CCN(C(=O)c2ccc(C3CCN(c4ccccc4)CC3)cc2)CC1, Score: 0.5955110820162722 
Step: add fragment, Previous ligand: [15*]C1CCN(C(=O)c2ccc(C3CCN(c4ccccc4)CC3)cc2)CC1, New ligand: [8*]CC1CCN(C(=O)c2ccc(C3CCN(c4ccccc4)CC3)cc2)CC1, Score: 0.5645172533983966 
