Molecule: ./Results/4lzs_p3 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.5459090909090909 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, Score: 0.8558620689655172 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(C)=O)c1NC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: remove fragment, Previous ligand: [6*]C(=O)NC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: add fragment, Previous ligand: [6*]C(=O)NC, New ligand: [14*]c1[nH]c(C)c([16*])c1C(=O)NC, Score: 0.3572830188679245 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1C(=O)NC, New ligand: [16*]c1c(C)[nH]c(C(C)=O)c1C(=O)NC, Score: 0.6561403508771929 
