Molecule: ./Results/4lzs_n2 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2[nH]c(C)c(NC)c2[16*])c1C(C)=O, New ligand: [16*]c1c(-c2c(C)[nH]c(C(C)=O)c2C(C)=O)[nH]c(C)c1NC, Score: 0.5595656779661017 
Step: remove fragment, Previous ligand: [16*]c1c(-c2c(C)[nH]c(C(C)=O)c2C(C)=O)[nH]c(C)c1NC, New ligand: [16*]c1c(-c2c(C)[nH]c(C(C)=O)c2[16*])[nH]c(C)c1NC, Score: 0.5231695890777673 
Step: add fragment, Previous ligand: [16*]c1c(-c2c(C)[nH]c(C(C)=O)c2[16*])[nH]c(C)c1NC, New ligand: [16*]c1c(C(C)=O)[nH]c(C)c1-c1[nH]c(C)c(NC)c1NC, Score: 0.5342917251051893 
Step: add fragment, Previous ligand: [16*]c1c(C(C)=O)[nH]c(C)c1-c1[nH]c(C)c(NC)c1NC, New ligand: [16*]c1c(C(C)=O)[nH]c(C)c1-c1[nH]c(C)c(NC)c1NC, Score: 0.5342917251051893 
Step: remove fragment, Previous ligand: [16*]c1c(C(C)=O)[nH]c(C)c1-c1[nH]c(C)c(NC)c1NC, New ligand: [14*]c1[nH]c(C)c(-c2[nH]c(C)c(NC)c2NC)c1[16*], Score: 0.5400701754385965 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2[nH]c(C)c(NC)c2NC)c1[16*], New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: [1*]C(=O)c1[nH]c(C)c(NC)c1NC, Score: 0.49184726522187816 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(NC)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, Score: 0.6369316424373648 
Step: remove fragment, Previous ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, New ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, Score: 0.6369316424373648 
Step: remove fragment, Previous ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: [1*]C(=O)c1[nH]c(C)c(NC)c1NC, Score: 0.49184726522187816 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(NC)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, Score: 0.6369316424373648 
Step: remove fragment, Previous ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, New ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, Score: 0.6369316424373648 
Step: remove fragment, Previous ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, Score: 0.6369316424373648 
