Molecule: ./Results/4lzs_p5 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [14*]c1[nH]c(C)c([16*])c1NC, Score: 0.22800751879699246 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(NC)c1CC, New ligand: [16*]c1c(C)[nH]c(NC)c1CC, Score: 0.41350943396226414 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(NC)c1CC, New ligand: CCc1c(NC)[nH]c(C)c1C(C)=O, Score: 0.7447145279819107 
Step: remove fragment, Previous ligand: CCc1c(NC)[nH]c(C)c1C(C)=O, New ligand: CCc1c(NC)[nH]c(C)c1C(C)=O, Score: 0.7447145279819107 
Step: remove fragment, Previous ligand: CCc1c(NC)[nH]c(C)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.5843055555555556 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.5843055555555556 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.5843055555555556 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.5843055555555556 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1CC, Score: 0.7022354694485843 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1CC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1CC, Score: 0.7022354694485843 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1CC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1CC, Score: 0.7022354694485843 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1CC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1CC, Score: 0.7022354694485843 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1CC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.5843055555555556 
