Molecule: ./Results/4lzs_n10 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [14*]c1[nH]c(C)c([16*])c1NC, Score: 0.22800751879699246 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7945762711864408 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7945762711864408 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7945762711864408 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7945762711864408 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7945762711864408 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7945762711864408 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7945762711864408 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7945762711864408 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7945762711864408 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7945762711864408 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.6035087719298246 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c(CC)c2C(=O)NC)c1[16*], Score: 0.6405919661733616 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c(CC)c2C(=O)NC)c1[16*], New ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.6035087719298246 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.6035087719298246 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: [1*]C(=O)c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.6867848778855805 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: [1*]C(=O)c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.6867848778855805 
Step: add fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, Score: 0.7158571428571429 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, New ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.6035087719298246 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.5987315010570825 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: [14*]c1[nH]c(C)c(-c2[nH]c(C)c([16*])c2[16*])c1-c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.44616546219393804 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2[nH]c(C)c([16*])c2[16*])c1-c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: [1*]C(=O)c1[nH]c(C)c(-c2[nH]c(C)c([16*])c2[16*])c1-c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.4329850270786875 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(-c2[nH]c(C)c([16*])c2[16*])c1-c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: [1*]C(=O)c1[nH]c(C)c(-c2[nH]c(C)c([16*])c2[16*])c1-c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.4329850270786875 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(-c2[nH]c(C)c([16*])c2[16*])c1-c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.6035087719298246 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: [1*]C(=O)c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.6867848778855805 
