Molecule: ./Results/6fnx 
Step: add fragment, Previous ligand: [8*]CC, New ligand: CCc1ccccc1, Score: 0.23221594918842625 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: [8*]CC, Score: 0.004999999999999999 
Step: remove fragment, Previous ligand: [8*]CC, New ligand: [8*]CC, Score: 0.004999999999999999 
Step: add fragment, Previous ligand: [8*]CC, New ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2CC, Score: 0.5739298423995932 
Step: add fragment, Previous ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2CC, New ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2CC, Score: 0.5761147163491731 
Step: remove fragment, Previous ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2CC, New ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2CC, Score: 0.5761147163491731 
Step: remove fragment, Previous ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2CC, New ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2CC, Score: 0.5761147163491731 
Step: remove fragment, Previous ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2CC, New ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2CC, Score: 0.5761147163491731 
Step: add fragment, Previous ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2CC, New ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2Cn1c(=O)[nH]c(=O)c2c1ncn2CC, Score: 0.5296936073635102 
Step: add fragment, Previous ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2Cn1c(=O)[nH]c(=O)c2c1ncn2CC, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: 0.5449152857940792 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: 0.5449152857940792 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: 0.5449152857940792 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: 0.5449152857940792 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: 0.5449152857940792 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2CC, Score: 0.5761147163491731 
Step: add fragment, Previous ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2CC, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: 1.0 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: 1.0 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: 1.0 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: 1.0 
