Molecule: ./p38/3gc7 
Step: add fragment, Previous ligand: [5*][N@H+]1CC[C@@H](n2c(=O)ncc3c2cc([N@H+]2CC[C@@H]([N@H+]4CC[C@@H](c5c(Cl)cccc5Cl)CC4)CC2)cc3[C@H]2CC[N@@H+](c3ccc(F)cc3Cl)CC2)CC1, New ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c2cc([N@H+]2CC[C@@H]([N@H+]4CC[C@@H](c5c(Cl)cccc5Cl)CC4)CC2)cc3[C@H]2CC[N@@H+](c3ccc(F)cc3Cl)CC2)CC1, Score: tensor([0.7397]) 
Step: remove fragment, Previous ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c2cc([N@H+]2CC[C@@H]([N@H+]4CC[C@@H](c5c(Cl)cccc5Cl)CC4)CC2)cc3[C@H]2CC[N@@H+](c3ccc(F)cc3Cl)CC2)CC1, New ligand: [16*]c1cc([N@H+]2CC[C@@H]([N@H+]3CC[C@@H](c4c(Cl)cccc4Cl)CC3)CC2)cc2c1cnc(=O)n2[C@H]1CC[N@@H+](C(C)C)CC1, Score: tensor([0.7677]) 
Step: remove fragment, Previous ligand: [16*]c1cc([N@H+]2CC[C@@H]([N@H+]3CC[C@@H](c4c(Cl)cccc4Cl)CC3)CC2)cc2c1cnc(=O)n2[C@H]1CC[N@@H+](C(C)C)CC1, New ligand: [16*]c1cc([16*])c2cnc(=O)n([C@H]3CC[N@@H+](C(C)C)CC3)c2c1, Score: tensor([0.8526]) 
Step: remove fragment, Previous ligand: [16*]c1cc([16*])c2cnc(=O)n([C@H]3CC[N@@H+](C(C)C)CC3)c2c1, New ligand: [16*]c1cc([16*])c2cnc(=O)n([C@H]3CC[N@@H+](C(C)C)CC3)c2c1, Score: tensor([0.8526]) 
Step: add fragment, Previous ligand: [16*]c1cc([16*])c2cnc(=O)n([C@H]3CC[N@@H+](C(C)C)CC3)c2c1, New ligand: [16*]c1cc(-c2c(Cl)cccc2Cl)cc2c1cnc(=O)n2[C@H]1CC[N@@H+](C(C)C)CC1, Score: tensor([0.8298]) 
Step: remove fragment, Previous ligand: [16*]c1cc(-c2c(Cl)cccc2Cl)cc2c1cnc(=O)n2[C@H]1CC[N@@H+](C(C)C)CC1, New ligand: [16*]c1cc([16*])c2cnc(=O)n([C@H]3CC[N@@H+](C(C)C)CC3)c2c1, Score: tensor([0.8519]) 
Step: add fragment, Previous ligand: [16*]c1cc([16*])c2cnc(=O)n([C@H]3CC[N@@H+](C(C)C)CC3)c2c1, New ligand: [16*]c1cc(-c2c(Cl)cccc2Cl)c2cnc(=O)n([C@H]3CC[N@@H+](C(C)C)CC3)c2c1, Score: tensor([0.8668]) 
Step: add fragment, Previous ligand: [16*]c1cc(-c2c(Cl)cccc2Cl)c2cnc(=O)n([C@H]3CC[N@@H+](C(C)C)CC3)c2c1, New ligand: [5*][N@H+]1CC[C@@H](c2cc(-c3c(Cl)cccc3Cl)c3cnc(=O)n([C@H]4CC[N@@H+](C(C)C)CC4)c3c2)CC1, Score: tensor([0.8813]) 
Step: remove fragment, Previous ligand: [5*][N@H+]1CC[C@@H](c2cc(-c3c(Cl)cccc3Cl)c3cnc(=O)n([C@H]4CC[N@@H+](C(C)C)CC4)c3c2)CC1, New ligand: [5*][N@H+]1CC[C@@H](c2cc(-c3c(Cl)cccc3Cl)c3cnc(=O)n([C@H]4CC[N@@H+](C(C)C)CC4)c3c2)CC1, Score: tensor([0.8813]) 
Step: add fragment, Previous ligand: [5*][N@H+]1CC[C@@H](c2cc(-c3c(Cl)cccc3Cl)c3cnc(=O)n([C@H]4CC[N@@H+](C(C)C)CC4)c3c2)CC1, New ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c(-c4c(Cl)cccc4Cl)cc([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)cc32)CC1, Score: tensor([0.8485]) 
Step: remove fragment, Previous ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c(-c4c(Cl)cccc4Cl)cc([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)cc32)CC1, New ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c(-c4c(Cl)cccc4Cl)cc([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)cc32)CC1, Score: tensor([0.8485]) 
Step: remove fragment, Previous ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c(-c4c(Cl)cccc4Cl)cc([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)cc32)CC1, New ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c(-c4c(Cl)cccc4Cl)cc([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)cc32)CC1, Score: tensor([0.8485]) 
Step: remove fragment, Previous ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c(-c4c(Cl)cccc4Cl)cc([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)cc32)CC1, New ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c(-c4c(Cl)cccc4Cl)cc([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)cc32)CC1, Score: tensor([0.8485]) 
Step: remove fragment, Previous ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c(-c4c(Cl)cccc4Cl)cc([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)cc32)CC1, New ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c(-c4c(Cl)cccc4Cl)cc([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)cc32)CC1, Score: tensor([0.8485]) 
Step: remove fragment, Previous ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c(-c4c(Cl)cccc4Cl)cc([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)cc32)CC1, New ligand: [16*]c1cc([C@H]2CC[N@@H+](c3ccc(F)cc3Cl)CC2)cc2c1cnc(=O)n2[C@H]1CC[N@@H+](C(C)C)CC1, Score: tensor([0.8332]) 
Step: add fragment, Previous ligand: [16*]c1cc([C@H]2CC[N@@H+](c3ccc(F)cc3Cl)CC2)cc2c1cnc(=O)n2[C@H]1CC[N@@H+](C(C)C)CC1, New ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c(-c4c(Cl)cccc4Cl)cc([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)cc32)CC1, Score: tensor([0.8481]) 
