Molecule: ./p38/3hv5 
Step: remove fragment, Previous ligand: [16*]c1cccc([16*])c1, New ligand: [16*]c1cccc([16*])c1, Score: tensor([0.3957]) 
Step: add fragment, Previous ligand: [9*]n1nc(-c2cc(-n3nc(-c4ccc(C)cc4)cc3[14*])nn2-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)cc1[14*], New ligand: [14*]c1cc(-c2ccc(C)cc2)nn1-c1cc(-c2cc([14*])n(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)n2)n(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)n1, Score: tensor([0.6089]) 
Step: remove fragment, Previous ligand: [14*]c1cc(-c2ccc(C)cc2)nn1-c1cc(-c2cc([14*])n(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)n2)n(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)n1, New ligand: [14*]c1cc([14*])n(-c2cc(-c3cc([14*])n(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)n3)n(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)n2)n1, Score: tensor([0.6544]) 
Step: remove fragment, Previous ligand: [14*]c1cc([14*])n(-c2cc(-c3cc([14*])n(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)n3)n(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)n2)n1, New ligand: [14*]c1cc([14*])n(-c2cc(-c3cc([14*])n(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)n3)n(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)n2)n1, Score: tensor([0.6544]) 
Step: add fragment, Previous ligand: [14*]c1cc([14*])n(-c2cc(-c3cc([14*])n(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)n3)n(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)n2)n1, New ligand: [14*]c1cc(C(C)(C)C)n(-c2cc(-c3cc([14*])n(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)n3)n(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)n2)n1, Score: tensor([0.6035]) 
Step: remove fragment, Previous ligand: [14*]c1cc(C(C)(C)C)n(-c2cc(-c3cc([14*])n(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)n3)n(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)n2)n1, New ligand: [14*]c1cc(C(C)(C)C)n(-c2cc(-c3cc([14*])n(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)n3)n(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)n2)n1, Score: tensor([0.6035]) 
Step: add fragment, Previous ligand: [14*]c1cc(C(C)(C)C)n(-c2cc(-c3cc([14*])n(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)n3)n(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)n2)n1, New ligand: [14*]c1cc(-c2cc(-n3nc(-c4cccc([16*])c4)cc3C(C)(C)C)nn2-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)nn1-c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.5362]) 
Step: add fragment, Previous ligand: [14*]c1cc(-c2cc(-n3nc(-c4cccc([16*])c4)cc3C(C)(C)C)nn2-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)nn1-c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [16*]c1cccc(-c2cc(C(C)(C)C)n(-c3cc(-c4cc(-c5cc[nH+]c6ccc([N+](=O)[O-])cc56)n(-c5cc[nH+]c6ccc([N+](=O)[O-])cc56)n4)n(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)n3)n2)c1, Score: tensor([0.5399]) 
Step: add fragment, Previous ligand: [16*]c1cccc(-c2cc(C(C)(C)C)n(-c3cc(-c4cc(-c5cc[nH+]c6ccc([N+](=O)[O-])cc56)n(-c5cc[nH+]c6ccc([N+](=O)[O-])cc56)n4)n(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)n3)n2)c1, New ligand: [16*]c1cccc(-c2cccc(-c3cc(C(C)(C)C)n(-c4cc(-c5cc(-c6cc[nH+]c7ccc([N+](=O)[O-])cc67)n(-c6cc[nH+]c7ccc([N+](=O)[O-])cc67)n5)n(-c5cc[nH+]c6ccc([N+](=O)[O-])cc56)n4)n3)c2)c1, Score: tensor([0.5947]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(-c2cccc(-c3cc(C(C)(C)C)n(-c4cc(-c5cc(-c6cc[nH+]c7ccc([N+](=O)[O-])cc67)n(-c6cc[nH+]c7ccc([N+](=O)[O-])cc67)n5)n(-c5cc[nH+]c6ccc([N+](=O)[O-])cc56)n4)n3)c2)c1, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7608]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7608]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7608]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7608]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: CC(C)(C)c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.8254]) 
Step: remove fragment, Previous ligand: CC(C)(C)c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7612]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: CC(C)(C)c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.8247]) 
Step: remove fragment, Previous ligand: CC(C)(C)c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: CC(C)(C)c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.8247]) 
Step: remove fragment, Previous ligand: CC(C)(C)c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7613]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [16*]c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, Score: tensor([0.6919]) 
Step: add fragment, Previous ligand: [16*]c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3cccc(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)c3)c2c1, Score: tensor([0.6168]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3cccc(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)c3)c2c1, New ligand: [16*]c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, Score: tensor([0.7011]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, New ligand: [16*]c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, Score: tensor([0.7011]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, New ligand: [16*]c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, Score: tensor([0.7011]) 
Step: add fragment, Previous ligand: [16*]c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, New ligand: Cc1ccc(-c2cccc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)c2)cc1, Score: tensor([0.7656]) 
Step: remove fragment, Previous ligand: Cc1ccc(-c2cccc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)c2)cc1, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7614]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [5*]Nc1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7822]) 
