Molecule: ./Serine/specific_frags_1.txt 
Step: add fragment, Previous ligand: [5*]N1CCC[C@@H]([NH3+])C1, New ligand: [5*]N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4731]) 
Step: remove fragment, Previous ligand: [14*]c1cc2c(cn1)cnn2-c1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, New ligand: [14*]c1cc2c(cn1)cnn2-c1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, Score: tensor([0.8568]) 
Step: add fragment, Previous ligand: [14*]c1cc2c(cn1)cnn2-c1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, New ligand: [14*]c1c(-c2cc3c(cn2)cnn3-c2cc(O)n3ncc([C@@H]4C[C@H](C)C[C@H]([NH3+])C4)c3n2)cnn1C, Score: tensor([0.8555]) 
Step: remove fragment, Previous ligand: [14*]c1c(-c2cc3c(cn2)cnn3-c2cc(O)n3ncc([C@@H]4C[C@H](C)C[C@H]([NH3+])C4)c3n2)cnn1C, New ligand: [14*]c1c(-c2cc3c(cn2)cnn3-c2cc(O)n3ncc([C@@H]4C[C@H](C)C[C@H]([NH3+])C4)c3n2)cnn1C, Score: tensor([0.8555]) 
Step: remove fragment, Previous ligand: [14*]c1c(-c2cc3c(cn2)cnn3-c2cc(O)n3ncc([C@@H]4C[C@H](C)C[C@H]([NH3+])C4)c3n2)cnn1C, New ligand: [14*]c1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, Score: tensor([0.7353]) 
Step: add fragment, Previous ligand: [14*]c1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, New ligand: C[C@@H]1C[C@H]([NH3+])C[C@H](c2cnn3c(O)cc(-c4ccc5cccc(O)c5n4)nc23)C1, Score: tensor([0.8233]) 
Step: remove fragment, Previous ligand: C[C@@H]1C[C@H]([NH3+])C[C@H](c2cnn3c(O)cc(-c4ccc5cccc(O)c5n4)nc23)C1, New ligand: [14*]c1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, Score: tensor([0.7363]) 
Step: remove fragment, Previous ligand: [14*]c1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, New ligand: [14*]c1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, Score: tensor([0.7363]) 
Step: add fragment, Previous ligand: [14*]c1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, New ligand: [5*]Nc1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, Score: tensor([0.7938]) 
Step: remove fragment, Previous ligand: [5*]Nc1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, New ligand: [5*]Nc1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, Score: tensor([0.7938]) 
Step: remove fragment, Previous ligand: [5*]Nc1cc(O)n2ncc([C@@H]3C[C@H](C)C[C@H]([NH3+])C3)c2n1, New ligand: [5*]N[5*], Score: tensor([0.2829]) 
Step: remove fragment, Previous ligand: [5*]N[5*], New ligand: [5*]N[5*], Score: tensor([0.2829]) 
Step: add fragment, Previous ligand: [5*]N[5*], New ligand: [5*]Nc1cc(=O)n2ncc([16*])c2[nH]1, Score: tensor([0.6288]) 
Step: remove fragment, Previous ligand: [5*]Nc1cc(=O)n2ncc([16*])c2[nH]1, New ligand: [14*]c1cc(=O)n2ncc([16*])c2[nH]1, Score: tensor([0.6274]) 
Step: add fragment, Previous ligand: [14*]c1cc(=O)n2ncc([16*])c2[nH]1, New ligand: [16*]c1ccccc1-c1cc(=O)n2ncc([16*])c2[nH]1, Score: tensor([0.8310]) 
