Molecule: ./Serine/specific_frags_2.txt 
Step: add fragment, Previous ligand: [7*]C1SC(Nc2cnc3[nH]cc(-c4cccnc4)c3c2)=NC1=O, New ligand: [5*]NC1=[NH+]C(=C2SC(Nc3cnc4[nH]cc(-c5cccnc5)c4c3)=NC2=O)C(=O)N1, Score: tensor([0.8273]) 
Step: add fragment, Previous ligand: [5*]NC1=[NH+]C(=C2SC(Nc3cnc4[nH]cc(-c5cccnc5)c4c3)=NC2=O)C(=O)N1, New ligand: Cc1n[nH]c2cnc(NC3=[NH+]C(=C4SC(Nc5cnc6[nH]cc(-c7cccnc7)c6c5)=NC4=O)C(=O)N3)cc12, Score: tensor([0.7029]) 
Step: remove fragment, Previous ligand: Cc1n[nH]c2cnc(NC3=[NH+]C(=C4SC(Nc5cnc6[nH]cc(-c7cccnc7)c6c5)=NC4=O)C(=O)N3)cc12, New ligand: [5*]NC1=NC(=O)C(=C2[NH+]=C(Nc3cc4c(C)n[nH]c4cn3)NC2=O)S1, Score: tensor([0.5710]) 
Step: remove fragment, Previous ligand: [5*]NC1=NC(=O)C(=C2[NH+]=C(Nc3cc4c(C)n[nH]c4cn3)NC2=O)S1, New ligand: [5*]NC1=NC(=O)C(=C2[NH+]=C(Nc3cc4c(C)n[nH]c4cn3)NC2=O)S1, Score: tensor([0.5710]) 
Step: add fragment, Previous ligand: [5*]NC1=NC(=O)C(=C2[NH+]=C(Nc3cc4c(C)n[nH]c4cn3)NC2=O)S1, New ligand: [16*]c1cccc(NC2=NC(=O)C(=C3[NH+]=C(Nc4cc5c(C)n[nH]c5cn4)NC3=O)S2)c1, Score: tensor([0.7224]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(NC2=NC(=O)C(=C3[NH+]=C(Nc4cc5c(C)n[nH]c5cn4)NC3=O)S2)c1, New ligand: [16*]c1cccc([16*])c1, Score: tensor([0.4189]) 
Step: remove fragment, Previous ligand: [16*]c1cccc([16*])c1, New ligand: [16*]c1cccc([16*])c1, Score: tensor([0.4189]) 
Step: remove fragment, Previous ligand: [16*]c1cccc([16*])c1, New ligand: [16*]c1cccc([16*])c1, Score: tensor([0.4189]) 
Step: add fragment, Previous ligand: [16*]c1cccc([16*])c1, New ligand: [16*]c1cccc(-c2ccncc2[16*])c1, Score: tensor([0.6229]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(-c2ccncc2[16*])c1, New ligand: [16*]c1ccncc1[16*], Score: tensor([0.4149]) 
Step: remove fragment, Previous ligand: [16*]c1ccncc1[16*], New ligand: [16*]c1ccncc1[16*], Score: tensor([0.4149]) 
Step: add fragment, Previous ligand: [16*]c1ccncc1[16*], New ligand: [16*]c1cnccc1-c1ccccc1Cl, Score: tensor([0.6527]) 
Step: add fragment, Previous ligand: [16*]c1cccc2c(=O)n(-c3nccnc3N)c([C@H]3CCC[C@H]([NH3+])C3)[nH+]c12, New ligand: [16*]c1cccc2c(=O)n(-c3nccnc3N)c([C@H]3CCC[C@H]([NH3+])C3)[nH+]c12, Score: tensor([0.8447]) 
Step: remove fragment, Previous ligand: [16*]c1cccc2c(=O)n(-c3nccnc3N)c([C@H]3CCC[C@H]([NH3+])C3)[nH+]c12, New ligand: [16*]c1cccc2c(=O)n(-c3nccnc3N)c([C@H]3CCC[C@H]([NH3+])C3)[nH+]c12, Score: tensor([0.8447]) 
Step: add fragment, Previous ligand: [16*]c1cccc2c(=O)n(-c3nccnc3N)c([C@H]3CCC[C@H]([NH3+])C3)[nH+]c12, New ligand: [16*]c1cccc2c(=O)n(-c3nccnc3N)c([C@H]3CCC[C@H]([NH3+])C3)[nH+]c12, Score: tensor([0.8447]) 
Step: add fragment, Previous ligand: [16*]c1cccc2c(=O)n(-c3nccnc3N)c([C@H]3CCC[C@H]([NH3+])C3)[nH+]c12, New ligand: Nc1nccnc1-n1c([C@H]2CCC[C@H]([NH3+])C2)[nH+]c2c(-c3cc[nH]n3)cccc2c1=O, Score: tensor([0.8369]) 
Step: remove fragment, Previous ligand: Nc1nccnc1-n1c([C@H]2CCC[C@H]([NH3+])C2)[nH+]c2c(-c3cc[nH]n3)cccc2c1=O, New ligand: [14*]c1[nH+]c2c(-c3cc[nH]n3)cccc2c(=O)n1-c1nccnc1N, Score: tensor([0.8145]) 
Step: add fragment, Previous ligand: [14*]c1[nH+]c2c(-c3cc[nH]n3)cccc2c(=O)n1-c1nccnc1N, New ligand: C[C@H]1NC(=O)c2cc(-c3[nH+]c4c(-c5cc[nH]n5)cccc4c(=O)n3-c3nccnc3N)[nH]c21, Score: tensor([0.7839]) 
Step: remove fragment, Previous ligand: C[C@H]1NC(=O)c2cc(-c3[nH+]c4c(-c5cc[nH]n5)cccc4c(=O)n3-c3nccnc3N)[nH]c21, New ligand: C[C@H]1NC(=O)c2cc(-c3[nH+]c4c(-c5cc[nH]n5)cccc4c(=O)n3-c3nccnc3N)[nH]c21, Score: tensor([0.7839]) 
Step: remove fragment, Previous ligand: C[C@H]1NC(=O)c2cc(-c3[nH+]c4c(-c5cc[nH]n5)cccc4c(=O)n3-c3nccnc3N)[nH]c21, New ligand: C[C@H]1NC(=O)c2cc(-c3[nH+]c4c(-c5cc[nH]n5)cccc4c(=O)n3-c3nccnc3N)[nH]c21, Score: tensor([0.7839]) 
Step: remove fragment, Previous ligand: C[C@H]1NC(=O)c2cc(-c3[nH+]c4c(-c5cc[nH]n5)cccc4c(=O)n3-c3nccnc3N)[nH]c21, New ligand: C[C@H]1NC(=O)c2cc(-c3[nH+]c4c(-c5cc[nH]n5)cccc4c(=O)n3-c3nccnc3N)[nH]c21, Score: tensor([0.7839]) 
Step: remove fragment, Previous ligand: C[C@H]1NC(=O)c2cc(-c3[nH+]c4c(-c5cc[nH]n5)cccc4c(=O)n3-c3nccnc3N)[nH]c21, New ligand: [14*]c1[nH+]c2c(-c3cc[nH]n3)cccc2c(=O)n1-c1nccnc1N, Score: tensor([0.8143]) 
Step: add fragment, Previous ligand: [14*]c1[nH+]c2c(-c3cc[nH]n3)cccc2c(=O)n1-c1nccnc1N, New ligand: [6*]C(=O)c1[nH+]c2c(-c3cc[nH]n3)cccc2c(=O)n1-c1nccnc1N, Score: tensor([0.8108]) 
Step: add fragment, Previous ligand: [6*]C(=O)c1[nH+]c2c(-c3cc[nH]n3)cccc2c(=O)n1-c1nccnc1N, New ligand: Nc1[nH+]nc(C(=O)c2[nH+]c3c(-c4cc[nH]n4)cccc3c(=O)n2-c2nccnc2N)s1, Score: tensor([0.8237]) 
Step: remove fragment, Previous ligand: Nc1[nH+]nc(C(=O)c2[nH+]c3c(-c4cc[nH]n4)cccc3c(=O)n2-c2nccnc2N)s1, New ligand: Nc1[nH+]nc(C(=O)c2[nH+]c3c(-c4cc[nH]n4)cccc3c(=O)n2-c2nccnc2N)s1, Score: tensor([0.8237]) 
Step: remove fragment, Previous ligand: Nc1[nH+]nc(C(=O)c2[nH+]c3c(-c4cc[nH]n4)cccc3c(=O)n2-c2nccnc2N)s1, New ligand: Nc1[nH+]nc(C(=O)c2[nH+]c3c(-c4cc[nH]n4)cccc3c(=O)n2-c2nccnc2N)s1, Score: tensor([0.8237]) 
Step: remove fragment, Previous ligand: Nc1[nH+]nc(C(=O)c2[nH+]c3c(-c4cc[nH]n4)cccc3c(=O)n2-c2nccnc2N)s1, New ligand: [14*]c1[nH+]c2c(-c3cc[nH]n3)cccc2c(=O)n1-c1nccnc1N, Score: tensor([0.8150]) 
Step: remove fragment, Previous ligand: [14*]c1[nH+]c2c(-c3cc[nH]n3)cccc2c(=O)n1-c1nccnc1N, New ligand: [14*]c1[nH+]c2c(-c3cc[nH]n3)cccc2c(=O)n1-c1nccnc1N, Score: tensor([0.8150]) 
Step: remove fragment, Previous ligand: [14*]c1[nH+]c2c(-c3cc[nH]n3)cccc2c(=O)n1-c1nccnc1N, New ligand: [14*]c1[nH+]c2c(-c3cc[nH]n3)cccc2c(=O)n1-c1nccnc1N, Score: tensor([0.8150]) 
Step: add fragment, Previous ligand: [14*]c1[nH+]c2c(-c3cc[nH]n3)cccc2c(=O)n1-c1nccnc1N, New ligand: Nc1nccnc1-n1c(-c2cccc(Cl)c2)[nH+]c2c(-c3cc[nH]n3)cccc2c1=O, Score: tensor([0.7966]) 
