Molecule: ./Serine/specific_frags_0.txt 
Step: add fragment, Previous ligand: [14*]c1nc(NC2=NC(=O)C(=Cc3cc4c(C#N)ccnc4n3C)S2)cs1, New ligand: [14*]c1nc(NC2=NC(=O)C(=Cc3cc4c(C#N)ccnc4n3C)S2)cs1, Score: tensor([0.8399]) 
Step: remove fragment, Previous ligand: [14*]c1nc(NC2=NC(=O)C(=Cc3cc4c(C#N)ccnc4n3C)S2)cs1, New ligand: [5*]NC1=NC(=O)C(=Cc2cc3c(C#N)ccnc3n2C)S1, Score: tensor([0.7989]) 
Step: add fragment, Previous ligand: [5*]NC1=NC(=O)C(=Cc2cc3c(C#N)ccnc3n2C)S1, New ligand: [8*]CNC1=NC(=O)C(=Cc2cc3c(C#N)ccnc3n2C)S1, Score: tensor([0.8294]) 
Step: add fragment, Previous ligand: [8*]CNC1=NC(=O)C(=Cc2cc3c(C#N)ccnc3n2C)S1, New ligand: Cn1c(C=C2SC(NC[C@H]3C[NH2+]CCC34CC4)=NC2=O)cc2c(C#N)ccnc21, Score: tensor([0.8599]) 
Step: remove fragment, Previous ligand: Cn1c(C=C2SC(NC[C@H]3C[NH2+]CCC34CC4)=NC2=O)cc2c(C#N)ccnc21, New ligand: Cn1c(C=C2SC(NC[C@H]3C[NH2+]CCC34CC4)=NC2=O)cc2c(C#N)ccnc21, Score: tensor([0.8599]) 
Step: remove fragment, Previous ligand: Cn1c(C=C2SC(NC[C@H]3C[NH2+]CCC34CC4)=NC2=O)cc2c(C#N)ccnc21, New ligand: [14*]c1cc2c(C#N)ccnc2n1C, Score: tensor([0.6858]) 
Step: remove fragment, Previous ligand: [14*]c1cc2c(C#N)ccnc2n1C, New ligand: [14*]c1cc2c(C#N)ccnc2n1C, Score: tensor([0.6858]) 
Step: add fragment, Previous ligand: [14*]c1cc2c(C#N)ccnc2n1C, New ligand: [14*]c1cncc(-c2cc3c(C#N)ccnc3n2C)n1, Score: tensor([0.7504]) 
Step: add fragment, Previous ligand: [14*]c1cncc(-c2cc3c(C#N)ccnc3n2C)n1, New ligand: [14*]c1cncc(-c2cc3c(C#N)ccnc3n2C)n1, Score: tensor([0.7504]) 
Step: remove fragment, Previous ligand: [14*]c1cncc(-c2cc3c(C#N)ccnc3n2C)n1, New ligand: [14*]c1cc2c(C#N)ccnc2n1C, Score: tensor([0.6864]) 
Step: add fragment, Previous ligand: [14*]c1cc2c(C#N)ccnc2n1C, New ligand: [14*]c1ccn2ncc(-c3cc4c(C#N)ccnc4n3C)c2n1, Score: tensor([0.7581]) 
Step: add fragment, Previous ligand: [14*]c1ccn2ncc(-c3cc4c(C#N)ccnc4n3C)c2n1, New ligand: [1*]C(=O)c1ccn2ncc(-c3cc4c(C#N)ccnc4n3C)c2n1, Score: tensor([0.7126]) 
Step: add fragment, Previous ligand: [1*]C(=O)c1ccn2ncc(-c3cc4c(C#N)ccnc4n3C)c2n1, New ligand: Cn1c(-c2cnn3ccc(C(=O)N4CC[NH+](C)CC4)nc23)cc2c(C#N)ccnc21, Score: tensor([0.7155]) 
Step: remove fragment, Previous ligand: Cn1c(-c2cnn3ccc(C(=O)N4CC[NH+](C)CC4)nc23)cc2c(C#N)ccnc21, New ligand: Cn1c(-c2cnn3ccc(C(=O)N4CC[NH+](C)CC4)nc23)cc2c(C#N)ccnc21, Score: tensor([0.7155]) 
Step: remove fragment, Previous ligand: Cn1c(-c2cnn3ccc(C(=O)N4CC[NH+](C)CC4)nc23)cc2c(C#N)ccnc21, New ligand: [14*]c1ccn2ncc(-c3cc4c(C#N)ccnc4n3C)c2n1, Score: tensor([0.7575]) 
Step: add fragment, Previous ligand: [14*]c1ccn2ncc(-c3cc4c(C#N)ccnc4n3C)c2n1, New ligand: [16*]c1ccc2c(c1)nc(-c1ccn3ncc(-c4cc5c(C#N)ccnc5n4C)c3n1)c1ccncc12, Score: tensor([0.7855]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(c1)nc(-c1ccn3ncc(-c4cc5c(C#N)ccnc5n4C)c3n1)c1ccncc12, New ligand: [16*]c1ccc2c(c1)nc(-c1ccn3ncc(-c4cc5c(C#N)ccnc5n4C)c3n1)c1ccncc12, Score: tensor([0.7855]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)nc(-c1ccn3ncc(-c4cc5c(C#N)ccnc5n4C)c3n1)c1ccncc12, New ligand: [16*]c1ccc2c(c1)nc(-c1ccn3ncc(-c4cc5c(C#N)ccnc5n4C)c3n1)c1ccncc12, Score: tensor([0.7855]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)nc(-c1ccn3ncc(-c4cc5c(C#N)ccnc5n4C)c3n1)c1ccncc12, New ligand: Cn1c(-c2cnn3ccc(-c4nc5cc([C@H]6CC[C@H]([NH3+])CC6)ccc5c5cnccc45)nc23)cc2c(C#N)ccnc21, Score: tensor([0.7632]) 
Step: remove fragment, Previous ligand: Cn1c(-c2cnn3ccc(-c4nc5cc([C@H]6CC[C@H]([NH3+])CC6)ccc5c5cnccc45)nc23)cc2c(C#N)ccnc21, New ligand: Cn1c(-c2cnn3ccc(-c4nc5cc([C@H]6CC[C@H]([NH3+])CC6)ccc5c5cnccc45)nc23)cc2c(C#N)ccnc21, Score: tensor([0.7632]) 
Step: remove fragment, Previous ligand: Cn1c(-c2cnn3ccc(-c4nc5cc([C@H]6CC[C@H]([NH3+])CC6)ccc5c5cnccc45)nc23)cc2c(C#N)ccnc21, New ligand: [16*]c1ccc2c(c1)nc(-c1ccn3ncc(-c4cc5c(C#N)ccnc5n4C)c3n1)c1ccncc12, Score: tensor([0.7859]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)nc(-c1ccn3ncc(-c4cc5c(C#N)ccnc5n4C)c3n1)c1ccncc12, New ligand: [16*]c1ccc2c(c1)nc(-c1ccn3ncc(-c4cc5c(C#N)ccnc5n4C)c3n1)c1ccncc12, Score: tensor([0.7859]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)nc(-c1ccn3ncc(-c4cc5c(C#N)ccnc5n4C)c3n1)c1ccncc12, New ligand: [16*]c1ccc2c(c1)nc(-c1ccn3ncc(-c4cc5c(C#N)ccnc5n4C)c3n1)c1ccncc12, Score: tensor([0.7859]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)nc(-c1ccn3ncc(-c4cc5c(C#N)ccnc5n4C)c3n1)c1ccncc12, New ligand: Cn1c(-c2cnn3ccc(-c4nc5cc(-c6ccco6)ccc5c5cnccc45)nc23)cc2c(C#N)ccnc21, Score: tensor([0.5996]) 
Step: remove fragment, Previous ligand: Cn1c(-c2cnn3ccc(-c4nc5cc(-c6ccco6)ccc5c5cnccc45)nc23)cc2c(C#N)ccnc21, New ligand: [16*]c1cnn2ccc(-c3nc4cc(-c5ccco5)ccc4c4cnccc34)nc12, Score: tensor([0.6674]) 
