Molecule: ./no_chain/6fnx 
Step: remove fragment, Previous ligand: [8*]CC, New ligand: [8*]CC, Score: tensor([0.3636]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
Step: remove fragment, Previous ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.9151]) 
Step: remove fragment, Previous ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.9151]) 
Step: remove fragment, Previous ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.9151]) 
Step: remove fragment, Previous ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, Score: tensor([0.9151]) 
Step: add fragment, Previous ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cc1ccccc1, New ligand: O=c1[nH]c(=O)n(Cc2ccccc2)c2ncn(-c3ccccc3)c12, Score: tensor([0.7781]) 
Step: remove fragment, Previous ligand: O=c1[nH]c(=O)n(Cc2ccccc2)c2ncn(-c3ccccc3)c12, New ligand: O=c1[nH]c(=O)n(Cc2ccccc2)c2ncn(-c3ccccc3)c12, Score: tensor([0.7781]) 
Step: remove fragment, Previous ligand: O=c1[nH]c(=O)n(Cc2ccccc2)c2ncn(-c3ccccc3)c12, New ligand: O=c1[nH]c(=O)n(Cc2ccccc2)c2ncn(-c3ccccc3)c12, Score: tensor([0.7781]) 
Step: remove fragment, Previous ligand: O=c1[nH]c(=O)n(Cc2ccccc2)c2ncn(-c3ccccc3)c12, New ligand: [8*]Cc1ccccc1, Score: tensor([0.4870]) 
Step: add fragment, Previous ligand: [8*]Cc1ccccc1, New ligand: c1ccc(Cc2ccccc2)cc1, Score: tensor([0.4708]) 
Step: remove fragment, Previous ligand: c1ccc(Cc2ccccc2)cc1, New ligand: [8*]Cc1ccccc1, Score: tensor([0.4877]) 
Step: add fragment, Previous ligand: [8*]Cc1ccccc1, New ligand: c1ccc(Cc2ccccc2)cc1, Score: tensor([0.4716]) 
Step: remove fragment, Previous ligand: c1ccc(Cc2ccccc2)cc1, New ligand: c1ccc(Cc2ccccc2)cc1, Score: tensor([0.4716]) 
Step: remove fragment, Previous ligand: c1ccc(Cc2ccccc2)cc1, New ligand: [16*]c1ccccc1, Score: tensor([0.3988]) 
