Molecule: ./no_chain/2yek 
Step: add fragment, Previous ligand: [4*]CC, New ligand: [5*]NCC, Score: tensor([0.4037]) 
Step: add fragment, Previous ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, New ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC)c1nnc(C)n1-2, Score: tensor([0.9121]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC)c1nnc(C)n1-2, New ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9134]) 
Step: remove fragment, Previous ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9134]) 
Step: add fragment, Previous ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc([16*])ccc2-n2c(C)nnc21, New ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(N[5*])ccc2-n2c(C)nnc21, Score: tensor([0.9149]) 
Step: remove fragment, Previous ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(N[5*])ccc2-n2c(C)nnc21, New ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(N[5*])ccc2-n2c(C)nnc21, Score: tensor([0.9149]) 
Step: remove fragment, Previous ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(N[5*])ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(N[5*])ccc2-n2c(C)nnc21, Score: tensor([0.9007]) 
Step: add fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(N[5*])ccc2-n2c(C)nnc21, New ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(N[5*])ccc2-n2c(C)nnc21, Score: tensor([0.9150]) 
Step: add fragment, Previous ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(N[5*])ccc2-n2c(C)nnc21, New ligand: [5*]Nc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NC(=O)C[C@@H]1N=C(c3ccc(Cl)cc3)c3cc([16*])ccc3-n3c(C)nnc31)c1nnc(C)n1-2, Score: tensor([0.8397]) 
Step: add fragment, Previous ligand: [5*]Nc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NC(=O)C[C@@H]1N=C(c3ccc(Cl)cc3)c3cc([16*])ccc3-n3c(C)nnc31)c1nnc(C)n1-2, New ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NC(=O)C[C@@H]1N=C(c3ccc(Cl)cc3)c3cc(NCC)ccc3-n3c(C)nnc31)c1nnc(C)n1-2, Score: tensor([0.8319]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NC(=O)C[C@@H]1N=C(c3ccc(Cl)cc3)c3cc(NCC)ccc3-n3c(C)nnc31)c1nnc(C)n1-2, New ligand: CCNc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NC(=O)C[C@@H]1N=C(c3ccc(Cl)cc3)c3cc(OC)ccc3-n3c(C)nnc31)c1nnc(C)n1-2, Score: tensor([0.8021]) 
Step: remove fragment, Previous ligand: CCNc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NC(=O)C[C@@H]1N=C(c3ccc(Cl)cc3)c3cc(OC)ccc3-n3c(C)nnc31)c1nnc(C)n1-2, New ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NC(=O)C[C@@H]1N=C(c3ccc(Cl)cc3)c3cc(OC)ccc3-n3c(C)nnc31)c1nnc(C)n1-2, Score: tensor([0.8411]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NC(=O)C[C@@H]1N=C(c3ccc(Cl)cc3)c3cc(OC)ccc3-n3c(C)nnc31)c1nnc(C)n1-2, New ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9188]) 
Step: add fragment, Previous ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NC(=O)C[C@@H]3N=C(c4ccc(Cl)cc4)c4cc(OC)ccc4-n4c(C)nnc43)ccc2-n2c(C)nnc21, Score: tensor([0.8582]) 
Step: add fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NC(=O)C[C@@H]3N=C(c4ccc(Cl)cc4)c4cc(OC)ccc4-n4c(C)nnc43)ccc2-n2c(C)nnc21, New ligand: COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NC(=O)C[C@@H]3N=C(c4ccc(Cl)cc4)c4cc(OC)ccc4-n4c(C)nnc43)ccc2-n2c(C)nnc21, Score: tensor([0.8661]) 
Step: remove fragment, Previous ligand: COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(NC(=O)C[C@@H]3N=C(c4ccc(Cl)cc4)c4cc(OC)ccc4-n4c(C)nnc43)ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9060]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9060]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9060]) 
Step: add fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9188]) 
Step: remove fragment, Previous ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9059]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9059]) 
Step: add fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9186]) 
Step: remove fragment, Previous ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9062]) 
