Molecule: ./P38/specific_frags_1.txt 
Step: remove fragment, Previous ligand: [16*]c1ccc([16*])c2ccccc12, New ligand: [16*]c1ccc([16*])c2ccccc12, Score: tensor([0.4163]) 
Step: add fragment, Previous ligand: [5*]N(C)C, New ligand: CN(C)c1c(Cl)cccc1Cl, Score: tensor([0.4221]) 
Step: remove fragment, Previous ligand: CN(C)c1c(Cl)cccc1Cl, New ligand: [16*]c1c(Cl)cccc1Cl, Score: tensor([0.4101]) 
Step: remove fragment, Previous ligand: [16*]c1c(Cl)cccc1Cl, New ligand: [16*]c1c(Cl)cccc1Cl, Score: tensor([0.4101]) 
Step: remove fragment, Previous ligand: [16*]c1c(Cl)cccc1Cl, New ligand: [16*]c1c(Cl)cccc1Cl, Score: tensor([0.4101]) 
Step: add fragment, Previous ligand: [16*]c1c(Cl)cccc1Cl, New ligand: Clc1cccc(Cl)c1C1CC[NH2+]CC1, Score: tensor([0.5645]) 
Step: remove fragment, Previous ligand: Clc1cccc(Cl)c1C1CC[NH2+]CC1, New ligand: Clc1cccc(Cl)c1C1CC[NH2+]CC1, Score: tensor([0.5645]) 
Step: remove fragment, Previous ligand: Clc1cccc(Cl)c1C1CC[NH2+]CC1, New ligand: [16*]c1c(Cl)cccc1Cl, Score: tensor([0.4099]) 
Step: add fragment, Previous ligand: [16*]c1c(Cl)cccc1Cl, New ligand: [16*]c1cc(-c2c(Cl)cccc2Cl)ccc1F, Score: tensor([0.4784]) 
Step: remove fragment, Previous ligand: [16*]c1cc(-c2c(Cl)cccc2Cl)ccc1F, New ligand: [16*]c1ccc(F)c([16*])c1, Score: tensor([0.4199]) 
Step: add fragment, Previous ligand: [14*]c1cc(-c2nsc(-c3cccc(-c4cccc(C)c4)c3)c2CCN(C)C)ccn1, New ligand: [14*]c1cc(-c2nsc(-c3cccc(-c4cccc(C)c4)c3)c2CCN(C)C)ccn1, Score: tensor([0.7977]) 
Step: add fragment, Previous ligand: [14*]c1cc(-c2nsc(-c3cccc(-c4cccc(C)c4)c3)c2CCN(C)C)ccn1, New ligand: [5*]N1C[C@H](C)[N@@H+](c2cc(-c3nsc(-c4cccc(-c5cccc(C)c5)c4)c3CCN(C)C)ccn2)C[C@H]1C, Score: tensor([0.8059]) 
Step: add fragment, Previous ligand: [5*]N1C[C@H](C)[N@@H+](c2cc(-c3nsc(-c4cccc(-c5cccc(C)c5)c4)c3CCN(C)C)ccn2)C[C@H]1C, New ligand: [5*]N1C[C@H](C)[N@@H+](c2cc(-c3nsc(-c4cccc(-c5cccc(C)c5)c4)c3CCN(C)C)ccn2)C[C@H]1C, Score: tensor([0.8059]) 
Step: remove fragment, Previous ligand: [5*]N1C[C@H](C)[N@@H+](c2cc(-c3nsc(-c4cccc(-c5cccc(C)c5)c4)c3CCN(C)C)ccn2)C[C@H]1C, New ligand: [5*]N1C[C@H](C)[N@@H+](c2cc(-c3nsc(-c4cccc([16*])c4)c3CCN(C)C)ccn2)C[C@H]1C, Score: tensor([0.7112]) 
Step: remove fragment, Previous ligand: [5*]N1C[C@H](C)[N@@H+](c2cc(-c3nsc(-c4cccc([16*])c4)c3CCN(C)C)ccn2)C[C@H]1C, New ligand: [5*]N1C[C@H](C)[N@@H+](c2cc(-c3nsc([14*])c3CCN(C)C)ccn2)C[C@H]1C, Score: tensor([0.6796]) 
Step: add fragment, Previous ligand: [5*]N1C[C@H](C)[N@@H+](c2cc(-c3nsc([14*])c3CCN(C)C)ccn2)C[C@H]1C, New ligand: [14*]c1snc(-c2ccnc([N@H+]3C[C@@H](C)N(c4ccccc4[NH3+])C[C@@H]3C)c2)c1CCN(C)C, Score: tensor([0.7228]) 
Step: remove fragment, Previous ligand: [14*]c1snc(-c2ccnc([N@H+]3C[C@@H](C)N(c4ccccc4[NH3+])C[C@@H]3C)c2)c1CCN(C)C, New ligand: [14*]c1snc(-c2ccnc([N@H+]3C[C@@H](C)N(c4ccccc4[NH3+])C[C@@H]3C)c2)c1CCN(C)C, Score: tensor([0.7228]) 
Step: add fragment, Previous ligand: [14*]c1snc(-c2ccnc([N@H+]3C[C@@H](C)N(c4ccccc4[NH3+])C[C@@H]3C)c2)c1CCN(C)C, New ligand: [14*]c1snc(-c2ccnc([N@H+]3C[C@@H](C)N(c4ccccc4[NH3+])C[C@@H]3C)c2)c1CCN(C)C, Score: tensor([0.7228]) 
Step: add fragment, Previous ligand: [14*]c1snc(-c2ccnc([N@H+]3C[C@@H](C)N(c4ccccc4[NH3+])C[C@@H]3C)c2)c1CCN(C)C, New ligand: Cc1ccc(-c2snc(-c3ccnc([N@H+]4C[C@@H](C)N(c5ccccc5[NH3+])C[C@@H]4C)c3)c2CCN(C)C)cc1, Score: tensor([0.7481]) 
Step: remove fragment, Previous ligand: Cc1ccc(-c2snc(-c3ccnc([N@H+]4C[C@@H](C)N(c5ccccc5[NH3+])C[C@@H]4C)c3)c2CCN(C)C)cc1, New ligand: Cc1ccc(-c2snc(-c3ccnc([N@H+]4C[C@@H](C)N(c5ccccc5[NH3+])C[C@@H]4C)c3)c2CCN(C)C)cc1, Score: tensor([0.7481]) 
Step: remove fragment, Previous ligand: Cc1ccc(-c2snc(-c3ccnc([N@H+]4C[C@@H](C)N(c5ccccc5[NH3+])C[C@@H]4C)c3)c2CCN(C)C)cc1, New ligand: [16*]c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, Score: tensor([0.5120]) 
Step: add fragment, Previous ligand: [16*]c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, New ligand: [1*]C(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, Score: tensor([0.7442]) 
Step: add fragment, Previous ligand: [1*]C(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, New ligand: COC(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, Score: tensor([0.7925]) 
Step: remove fragment, Previous ligand: COC(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, New ligand: COC(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, Score: tensor([0.7925]) 
Step: remove fragment, Previous ligand: COC(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, New ligand: COC(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, Score: tensor([0.7925]) 
Step: remove fragment, Previous ligand: COC(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, New ligand: COC(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, Score: tensor([0.7925]) 
Step: remove fragment, Previous ligand: COC(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, New ligand: COC(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, Score: tensor([0.7925]) 
Step: remove fragment, Previous ligand: COC(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, New ligand: COC(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, Score: tensor([0.7925]) 
Step: remove fragment, Previous ligand: COC(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, New ligand: [1*]C(=O)C(=O)c1ccnc([N@H+]2C[C@@H](C)N(c3ccccc3[NH3+])C[C@@H]2C)c1, Score: tensor([0.7452]) 
