Molecule: ./no_chain/4dtk 
Step: add fragment, Previous ligand: [16*]c1cccc(-c2c([16*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], New ligand: [7*]Cc1cccc(-c2c([16*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], Score: tensor([0.7622]) 
Step: add fragment, Previous ligand: [7*]Cc1cccc(-c2c([16*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], New ligand: [7*]Cc1cccc(-c2c([16*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], Score: tensor([0.7622]) 
Step: add fragment, Previous ligand: [7*]Cc1cccc(-c2c([16*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], New ligand: [7*]Cc1cccc(-c2c(C[7*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], Score: tensor([0.7278]) 
Step: remove fragment, Previous ligand: [7*]Cc1cccc(-c2c(C[7*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], New ligand: [7*]Cc1cccc(-c2c([16*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], Score: tensor([0.7571]) 
Step: add fragment, Previous ligand: [7*]Cc1cccc(-c2c([16*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], New ligand: [7*]Cc1cccc(-c2c(C[7*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], Score: tensor([0.7244]) 
Step: add fragment, Previous ligand: [7*]Cc1cccc(-c2c(C[7*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], New ligand: [7*]Cc1cccc(N2CCC[C@@H]([NH3+])C2)c1-c1cccc(C=C[8*])c1[16*], Score: tensor([0.7137]) 
Step: remove fragment, Previous ligand: [7*]Cc1cccc(N2CCC[C@@H]([NH3+])C2)c1-c1cccc(C=C[8*])c1[16*], New ligand: [7*]Cc1cccc([16*])c1-c1cccc(C=C[8*])c1[16*], Score: tensor([0.5904]) 
Step: remove fragment, Previous ligand: [7*]Cc1cccc([16*])c1-c1cccc(C=C[8*])c1[16*], New ligand: [7*]Cc1cccc([16*])c1-c1cccc([16*])c1[16*], Score: tensor([0.5676]) 
Step: remove fragment, Previous ligand: [7*]Cc1cccc([16*])c1-c1cccc([16*])c1[16*], New ligand: [7*]Cc1cccc([16*])c1-c1cccc([16*])c1[16*], Score: tensor([0.5676]) 
Step: add fragment, Previous ligand: [7*]Cc1cccc([16*])c1-c1cccc([16*])c1[16*], New ligand: [7*]Cc1cccc([16*])c1-c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.6854]) 
Step: add fragment, Previous ligand: [7*]Cc1cccc([16*])c1-c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [7*]Cc1cccc([16*])c1-c1cccc(C[7*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7225]) 
Step: add fragment, Previous ligand: [7*]Cc1cccc([16*])c1-c1cccc(C[7*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [7*]Cc1cccc([16*])c1-c1cccc(C=C2SC(=O)NC2=O)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.8585]) 
Step: add fragment, Previous ligand: [7*]Cc1cccc([16*])c1-c1cccc(C=C2SC(=O)NC2=O)c1N1CCC[C@@H]([NH3+])C1, New ligand: [8*]C=Cc1cccc([16*])c1-c1cccc(C=C2SC(=O)NC2=O)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.8540]) 
Step: add fragment, Previous ligand: [8*]C=Cc1cccc([16*])c1-c1cccc(C=C2SC(=O)NC2=O)c1N1CCC[C@@H]([NH3+])C1, New ligand: [8*]C=Cc1cccc([16*])c1-c1cccc(C=C2SC(=O)NC2=O)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.8540]) 
Step: add fragment, Previous ligand: [8*]C=Cc1cccc([16*])c1-c1cccc(C=C2SC(=O)NC2=O)c1N1CCC[C@@H]([NH3+])C1, New ligand: [16*]c1cccc([16*])c1C=Cc1cccc([16*])c1-c1cccc(C=C2SC(=O)NC2=O)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.8028]) 
Step: remove fragment, Previous ligand: [16*]c1cccc([16*])c1C=Cc1cccc([16*])c1-c1cccc(C=C2SC(=O)NC2=O)c1N1CCC[C@@H]([NH3+])C1, New ligand: [5*]N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4736]) 
Step: add fragment, Previous ligand: [5*]N1CCC[C@@H]([NH3+])C1, New ligand: CC(C)N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4725]) 
Step: remove fragment, Previous ligand: CC(C)N1CCC[C@@H]([NH3+])C1, New ligand: [4*]C(C)C, Score: tensor([0.3860]) 
Step: remove fragment, Previous ligand: [4*]C(C)C, New ligand: [4*]C(C)C, Score: tensor([0.3860]) 
Step: remove fragment, Previous ligand: [4*]C(C)C, New ligand: [4*]C(C)C, Score: tensor([0.3860]) 
Step: remove fragment, Previous ligand: [4*]C(C)C, New ligand: [4*]C(C)C, Score: tensor([0.3860]) 
Step: add fragment, Previous ligand: [4*]C(C)C, New ligand: CC(C)N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4716]) 
Step: remove fragment, Previous ligand: CC(C)N1CCC[C@@H]([NH3+])C1, New ligand: [4*]C(C)C, Score: tensor([0.3866]) 
Step: add fragment, Previous ligand: [4*]C(C)C, New ligand: [3*]OC(C)C, Score: tensor([0.3997]) 
Step: add fragment, Previous ligand: [3*]OC(C)C, New ligand: [16*]c1cccc(OC(C)C)c1[16*], Score: tensor([0.5768]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(OC(C)C)c1[16*], New ligand: [16*]c1cccc(OC(C)C)c1[16*], Score: tensor([0.5768]) 
Step: add fragment, Previous ligand: [16*]c1cccc(OC(C)C)c1[16*], New ligand: [16*]c1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7084]) 
Step: add fragment, Previous ligand: [16*]c1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, New ligand: [3*]Oc1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7668]) 
Step: remove fragment, Previous ligand: [3*]Oc1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, New ligand: [3*]Oc1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7668]) 
Step: add fragment, Previous ligand: [3*]Oc1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, New ligand: CC(C)Oc1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7716]) 
