Molecule: ./no_chain/5kzi 
Step: add fragment, Previous ligand: [14*]c1ccc2cnc(Nc3cc[nH+]cc3-c3ncc4ccc([14*])nn34)n2n1, New ligand: [14*]c1ccc2cnc(Nc3cc[nH+]cc3-c3ncc4ccc(-c5ccc6cnc([14*])n6n5)nn34)n2n1, Score: tensor([0.8268]) 
Step: remove fragment, Previous ligand: [14*]c1ccc2cnc(Nc3cc[nH+]cc3-c3ncc4ccc(-c5ccc6cnc([14*])n6n5)nn34)n2n1, New ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc(-c3ccc4cnc([14*])n4n3)nn12, Score: tensor([0.8073]) 
Step: remove fragment, Previous ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc(-c3ccc4cnc([14*])n4n3)nn12, New ligand: [14*]c1ncc2ccc(-c3ccc4cnc(-c5c[nH+]ccc5[16*])n4n3)nn12, Score: tensor([0.7268]) 
Step: add fragment, Previous ligand: [14*]c1ncc2ccc(-c3ccc4cnc(-c5c[nH+]ccc5[16*])n4n3)nn12, New ligand: [16*]c1cc[nH+]cc1-c1ncc2ccc(-c3ccc4cnc(-c5c[nH+]ccc5[16*])n4n3)nn12, Score: tensor([0.6169]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]cc1-c1ncc2ccc(-c3ccc4cnc(-c5c[nH+]ccc5[16*])n4n3)nn12, New ligand: [14*]c1ccc2cnc(-c3cc[nH+]cc3-c3ncc4ccc(-c5ccc6cnc(-c7c[nH+]ccc7[16*])n6n5)nn34)n2n1, Score: tensor([0.5908]) 
Step: add fragment, Previous ligand: [14*]c1ccc2cnc(-c3cc[nH+]cc3-c3ncc4ccc(-c5ccc6cnc(-c7c[nH+]ccc7[16*])n6n5)nn34)n2n1, New ligand: [16*]c1cc[nH+]cc1-c1ncc2ccc(-c3ccc4cnc(-c5c[nH+]ccc5-c5ncc6ccc(N7CCC[C@H]([NH3+])C7)nn56)n4n3)nn12, Score: tensor([0.6317]) 
Step: add fragment, Previous ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3Nc3c[nH+]ccc3[16*])n2n1, New ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3Nc3c[nH+]ccc3-c3cc[nH+]cc3[16*])n2n1, Score: tensor([0.7785]) 
Step: remove fragment, Previous ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3Nc3c[nH+]ccc3-c3cc[nH+]cc3[16*])n2n1, New ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, Score: tensor([0.7998]) 
Step: add fragment, Previous ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, New ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3Nc3cc[nH+]cc3[16*])n2n1, Score: tensor([0.8382]) 
Step: add fragment, Previous ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3Nc3cc[nH+]cc3[16*])n2n1, New ligand: [14*]c1ncc2ccc(-c3ccc4cnc(-c5c[nH+]ccc5Nc5cc[nH+]cc5[16*])n4n3)nn12, Score: tensor([0.8411]) 
Step: add fragment, Previous ligand: [14*]c1ncc2ccc(-c3ccc4cnc(-c5c[nH+]ccc5Nc5cc[nH+]cc5[16*])n4n3)nn12, New ligand: [5*]Nc1c[nH+]ccc1Nc1cc[nH+]cc1-c1ncc2ccc(-c3ccc4cnc([14*])n4n3)nn12, Score: tensor([0.8376]) 
Step: add fragment, Previous ligand: [5*]Nc1c[nH+]ccc1Nc1cc[nH+]cc1-c1ncc2ccc(-c3ccc4cnc([14*])n4n3)nn12, New ligand: [5*]Nc1c[nH+]ccc1Nc1cc[nH+]cc1-c1ncc2ccc(-c3ccc4cnc(N5CCC[C@H]([NH3+])C5)n4n3)nn12, Score: tensor([0.7706]) 
Step: add fragment, Previous ligand: [5*]Nc1c[nH+]ccc1Nc1cc[nH+]cc1-c1ncc2ccc(-c3ccc4cnc(N5CCC[C@H]([NH3+])C5)n4n3)nn12, New ligand: [14*]c1ncc2ccc(Nc3c[nH+]ccc3Nc3cc[nH+]cc3-c3ncc4ccc(-c5ccc6cnc(N7CCC[C@H]([NH3+])C7)n6n5)nn34)nn12, Score: tensor([0.7423]) 
Step: remove fragment, Previous ligand: [14*]c1ncc2ccc(Nc3c[nH+]ccc3Nc3cc[nH+]cc3-c3ncc4ccc(-c5ccc6cnc(N7CCC[C@H]([NH3+])C7)n6n5)nn34)nn12, New ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3Nc3cc[nH+]cc3Nc3ccc4cnc([14*])n4n3)n2n1, Score: tensor([0.8107]) 
Step: remove fragment, Previous ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3Nc3cc[nH+]cc3Nc3ccc4cnc([14*])n4n3)n2n1, New ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, Score: tensor([0.8016]) 
Step: remove fragment, Previous ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, New ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, Score: tensor([0.8016]) 
Step: remove fragment, Previous ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, New ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, Score: tensor([0.8016]) 
Step: remove fragment, Previous ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, New ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3[16*])n2n1, Score: tensor([0.7673]) 
Step: remove fragment, Previous ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3[16*])n2n1, New ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3[16*])n2n1, Score: tensor([0.7673]) 
Step: add fragment, Previous ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3[16*])n2n1, New ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3N3CCC[C@H]([NH3+])C3)n2n1, Score: tensor([0.8497]) 
Step: remove fragment, Previous ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3N3CCC[C@H]([NH3+])C3)n2n1, New ligand: [5*]N1CCC[C@H]([NH3+])C1, Score: tensor([0.4856]) 
Step: add fragment, Previous ligand: [5*]N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1cc[nH+]cc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.5635]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]cc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1cc[nH+]cc1[16*], Score: tensor([0.3805]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]cc1[16*], New ligand: [16*]c1c[nH+]ccc1-c1c[nH+]ccc1[16*], Score: tensor([0.5987]) 
Step: add fragment, Previous ligand: [16*]c1c[nH+]ccc1-c1c[nH+]ccc1[16*], New ligand: [16*]c1c[nH+]ccc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.7717]) 
Step: add fragment, Previous ligand: [16*]c1c[nH+]ccc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1c[nH+]ccc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.7717]) 
Step: add fragment, Previous ligand: [16*]c1c[nH+]ccc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1c[nH+]ccc1-c1c[nH+]ccc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.6860]) 
Step: remove fragment, Previous ligand: [16*]c1c[nH+]ccc1-c1c[nH+]ccc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.4768]) 
Step: add fragment, Previous ligand: [16*]c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.7797]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.7797]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.7797]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.7797]) 
