Molecule: ./P38/random_1 
Step: add fragment, Previous ligand: [1*]C(=O)C([4*])([4*])C(F)(F)F, New ligand: [1*]C(=O)C([4*])(N1C[C@H]([15*])[C@H]2OCCC[C@H]21)C(F)(F)F, Score: tensor([0.4814]) 
Step: add fragment, Previous ligand: [16*]c1cc([16*])c(N2C[C@@H](c3cc4c(cn3)cnn4-c3ccn([C@H]4Cc5c([nH]c6ccccc56)CN4)n3)[C@H]3OCCC[C@H]32)c([16*])c1, New ligand: [16*]c1cc([16*])c(N2C[C@@H](c3cc4c(cn3)cnn4-c3ccn([C@H]4Cc5c([nH]c6ccccc56)CN4)n3)[C@H]3OCCC[C@H]32)c([16*])c1, Score: tensor([0.7216]) 
Step: add fragment, Previous ligand: [16*]c1cc([16*])c(N2C[C@@H](c3cc4c(cn3)cnn4-c3ccn([C@H]4Cc5c([nH]c6ccccc56)CN4)n3)[C@H]3OCCC[C@H]32)c([16*])c1, New ligand: [14*]c1cccc(-c2cc([16*])cc([16*])c2N2C[C@@H](c3cc4c(cn3)cnn4-c3ccn([C@H]4Cc5c([nH]c6ccccc56)CN4)n3)[C@H]3OCCC[C@H]32)n1, Score: tensor([0.5812]) 
Step: remove fragment, Previous ligand: [14*]c1cccc(-c2cc([16*])cc([16*])c2N2C[C@@H](c3cc4c(cn3)cnn4-c3ccn([C@H]4Cc5c([nH]c6ccccc56)CN4)n3)[C@H]3OCCC[C@H]32)n1, New ligand: [16*]c1cc([16*])c(N2C[C@@H](c3cc4c(cn3)cnn4-c3ccn([C@H]4Cc5c([nH]c6ccccc56)CN4)n3)[C@H]3OCCC[C@H]32)c([16*])c1, Score: tensor([0.7257]) 
Step: add fragment, Previous ligand: [16*]c1cc([16*])c(N2C[C@@H](c3cc4c(cn3)cnn4-c3ccn([C@H]4Cc5c([nH]c6ccccc56)CN4)n3)[C@H]3OCCC[C@H]32)c([16*])c1, New ligand: [16*]c1ccc(-c2cc([16*])c(N3C[C@@H](c4cc5c(cn4)cnn5-c4ccn([C@H]5Cc6c([nH]c7ccccc67)CN5)n4)[C@H]4OCCC[C@H]43)c([16*])c2)cc1F, Score: tensor([0.7661]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(-c2cc([16*])c(N3C[C@@H](c4cc5c(cn4)cnn5-c4ccn([C@H]5Cc6c([nH]c7ccccc67)CN5)n4)[C@H]4OCCC[C@H]43)c([16*])c2)cc1F, New ligand: [15*][C@@H]1CN(c2c([16*])cc(-c3ccc([16*])c(F)c3)cc2[16*])[C@@H]2CCCO[C@H]12, Score: tensor([0.5841]) 
Step: remove fragment, Previous ligand: [15*][C@@H]1CN(c2c([16*])cc(-c3ccc([16*])c(F)c3)cc2[16*])[C@@H]2CCCO[C@H]12, New ligand: [15*][C@@H]1CN(c2c([16*])cc(-c3ccc([16*])c(F)c3)cc2[16*])[C@@H]2CCCO[C@H]12, Score: tensor([0.5841]) 
Step: add fragment, Previous ligand: [15*][C@@H]1CN(c2c([16*])cc(-c3ccc([16*])c(F)c3)cc2[16*])[C@@H]2CCCO[C@H]12, New ligand: [15*][C@H]1CN([C@@H]2CN(c3c([16*])cc(-c4ccc([16*])c(F)c4)cc3[16*])[C@@H]3CCCO[C@@H]32)[C@@H]2CCCO[C@@H]21, Score: tensor([0.5298]) 
Step: add fragment, Previous ligand: [15*][C@H]1CN([C@@H]2CN(c3c([16*])cc(-c4ccc([16*])c(F)c4)cc3[16*])[C@@H]3CCCO[C@@H]32)[C@@H]2CCCO[C@@H]21, New ligand: [15*][C@H]1CN([C@@H]2CN(c3c([16*])cc(-c4ccc([16*])c(F)c4)cc3-c3cccc([16*])c3)[C@@H]3CCCO[C@@H]32)[C@@H]2CCCO[C@@H]21, Score: tensor([0.6638]) 
Step: remove fragment, Previous ligand: [15*][C@H]1CN([C@@H]2CN(c3c([16*])cc(-c4ccc([16*])c(F)c4)cc3-c3cccc([16*])c3)[C@@H]3CCCO[C@@H]32)[C@@H]2CCCO[C@@H]21, New ligand: [15*][C@H]1CN([C@@H]2CN(c3c([16*])cc(-c4ccc([16*])c(F)c4)cc3-c3cccc([16*])c3)[C@@H]3CCCO[C@@H]32)[C@@H]2CCCO[C@@H]21, Score: tensor([0.6638]) 
Step: remove fragment, Previous ligand: [15*][C@H]1CN([C@@H]2CN(c3c([16*])cc(-c4ccc([16*])c(F)c4)cc3-c3cccc([16*])c3)[C@@H]3CCCO[C@@H]32)[C@@H]2CCCO[C@@H]21, New ligand: [16*]c1cccc(-c2cc(-c3ccc([16*])c(F)c3)cc([16*])c2[16*])c1, Score: tensor([0.4882]) 
