Molecule: ./P38/random_a2 
Step: add fragment, Previous ligand: [1*]C(=O)C1=C(c2cccc([16*])c2)C[C@@H]2CC[C@H]1N2[5*], New ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N([10*])C(=O)[C@@]3([15*])O)c2)C[C@@H]2CC[C@H]1N2[5*], Score: tensor([0.7059]) 
Step: remove fragment, Previous ligand: O=S(=O)(Oc1cccc(B(O)O)c1)c1ccc(-c2cccs2)cc1, New ligand: [16*]c1ccc(S(=O)(=O)Oc2cccc(B(O)O)c2)cc1, Score: tensor([0.6779]) 
Step: add fragment, Previous ligand: [16*]c1ccc(S(=O)(=O)Oc2cccc(B(O)O)c2)cc1, New ligand: O=S(=O)(Oc1cccc(B(O)O)c1)c1ccc(-c2cccc(F)c2)cc1, Score: tensor([0.7301]) 
Step: remove fragment, Previous ligand: O=S(=O)(Oc1cccc(B(O)O)c1)c1ccc(-c2cccc(F)c2)cc1, New ligand: [16*]c1cccc(F)c1, Score: tensor([0.4233]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(F)c1, New ligand: [16*]c1cccc(F)c1, Score: tensor([0.4233]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(F)c1, New ligand: [16*]c1cccc(F)c1, Score: tensor([0.4233]) 
Step: add fragment, Previous ligand: [16*]c1cccc(F)c1, New ligand: [16*]c1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(c1cccc(F)c1)CC3, Score: tensor([0.5186]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(c1cccc(F)c1)CC3, New ligand: [5*]N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc([16*])cc13, Score: tensor([0.4888]) 
Step: add fragment, Previous ligand: [5*]N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc([16*])cc13, New ligand: [5*]N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(-n2cc([16*])c4ccccc42)cc13, Score: tensor([0.6273]) 
Step: remove fragment, Previous ligand: [5*]N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(-n2cc([16*])c4ccccc42)cc13, New ligand: [5*]N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(-n2cc([16*])c4ccccc42)cc13, Score: tensor([0.6273]) 
Step: add fragment, Previous ligand: [5*]N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(-n2cc([16*])c4ccccc42)cc13, New ligand: [5*]N1CCC(F)(N2CC[C@]34CCCC[C@H]3[C@H]2Cc2ccc(-n3cc([16*])c5ccccc53)cc24)CC1, Score: tensor([0.6449]) 
Step: add fragment, Previous ligand: [5*]N1CCC(F)(N2CC[C@]34CCCC[C@H]3[C@H]2Cc2ccc(-n3cc([16*])c5ccccc53)cc24)CC1, New ligand: [5*]N1CCC(F)(N2CC[C@]34CCCC[C@H]3[C@H]2Cc2ccc(-n3cc([16*])c5ccccc53)cc24)CC1, Score: tensor([0.6449]) 
