Molecule: ./Results/normal_sim_a2.txt 
Step: ['add'], Previous ligand: CC1:N:N:C2:C(:C:1CF)CCCC2, Changed ligand: CC1:N:N:C2:C(:C:1C(F)S)CCCC2, New ligand: CC1:N:N:C2:C(:C:1CF)CCCC2 
Step: ['switch'], Previous ligand: CC1:N:N:C2:C(:C:1CF)CCCC2, Changed ligand: CC1:N:N:C2:C(:C:1CCF)CCCC2, New ligand: CC1:N:N:C2:C(:C:1CCF)CCCC2 
Step: ['turn ring aromatic'], Previous ligand: CC1:N:N:C2:C(:C:1CCF)CCCC2, Changed ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1CCF, New ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1CCF 
Step: ['add'], Previous ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1CCF, Changed ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1C(=O)CF, New ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1C(=O)CF 
Step: ['remove'], Previous ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1C(=O)CF, Changed ligand: CC(=O)C1:C(C):N:N:C2:C:C:C:C:C:1:2, New ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1C(=O)CF 
Step: ['move_junction'], Previous ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1C(=O)CF, Changed ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1C(=O)CF, New ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1C(=O)CF 
Step: ['switch'], Previous ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1C(=O)CF, Changed ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1C(=O)NCF, New ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1C(=O)NCF 
Step: ['remove ring'], Previous ligand: CC1:N:N:C2:C:C:C:C:C:2:C:1C(=O)NCF, Changed ligand: CCCCC1:C:N:N:C(C):C:1C(O)NCF, New ligand: CCCCC1:C:N:N:C(C):C:1C(O)NCF 
Step: ['add'], Previous ligand: CCCCC1:C:N:N:C(C):C:1C(O)NCF, Changed ligand: CC(=N)CCC1:C:N:N:C(C):C:1C(O)NCF, New ligand: CC(=N)CCC1:C:N:N:C(C):C:1C(O)NCF 
Step: ['remove'], Previous ligand: CC(=N)CCC1:C:N:N:C(C):C:1C(O)NCF, Changed ligand: CNC(O)C1:C(CCC(C)=N):C:N:N:C:1C, New ligand: CNC(O)C1:C(CCC(C)=N):C:N:N:C:1C 
Step: ['change type'], Previous ligand: CNC(O)C1:C(CCC(C)=N):C:N:N:C:1C, Changed ligand: CNC(O)c1c(CCC(C)=N)cnnc1F, New ligand: CNC(O)C1:C(CCC(C)=N):C:N:N:C:1C 
