Molecule: ./Results/normal_sim_a1.txt 
Step: ['remove ring'], Previous ligand: CCCCNc1c(C)cc(C)n(O)c1=S, Changed ligand: CCCCNC(CS)C(C)CC(C)NO, New ligand: CCCCNc1c(C)cc(C)n(O)c1=S 
Step: ['move_junction'], Previous ligand: CCCCNc1c(C)cc(C)n(O)c1=S, Changed ligand: CCCCNc1c(C)cc(C)n(O)c1=S, New ligand: CCCCNc1c(C)cc(C)n(O)c1=S 
Step: ['add'], Previous ligand: CCCCNc1c(C)cc(C)n(O)c1=S, Changed ligand: CCCCN=C1C(=S)N(O)C(C)=CC1(C)C, New ligand: CCCCNc1c(C)cc(C)n(O)c1=S 
Step: ['remove'], Previous ligand: CCCCNc1c(C)cc(C)n(O)c1=S, Changed ligand: CCCCc1c(C)cc(C)n(O)c1=S, New ligand: CCCCc1c(C)cc(C)n(O)c1=S 
Step: ['move_junction'], Previous ligand: CCCCc1c(C)cc(C)n(O)c1=S, Changed ligand: CCCCc1c(CC)ccn(O)c1=S, New ligand: CCCCc1c(CC)ccn(O)c1=S 
Step: ['add'], Previous ligand: CCCCc1c(CC)ccn(O)c1=S, Changed ligand: CCCCc1c(C(C)P)ccn(O)c1=S, New ligand: CCCCc1c(CC)ccn(O)c1=S 
Step: ['add'], Previous ligand: CCCCc1c(CC)ccn(O)c1=S, Changed ligand: CCCCc1c(CC)ccn(O)c1=S=O, New ligand: CCCCc1c(CC)ccn(O)c1=S 
Step: ['move_junction'], Previous ligand: CCCCc1c(CC)ccn(O)c1=S, Changed ligand: CCC(C)CCc1cccn(O)c1=S, New ligand: CCC(C)CCc1cccn(O)c1=S 
Step: ['change bond type'], Previous ligand: CCC(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)CCc1cccn(O)c1=S, New ligand: CCC(C)CCc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCC(C)CCc1cccn(O)c1=S, Changed ligand: CC(C)CCc1cccn(O)c1=S, New ligand: CCC(C)CCc1cccn(O)c1=S 
Step: ['change type'], Previous ligand: CCC(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)CCc1cccn(O)c1=S, New ligand: CCC(C)CCc1cccn(O)c1=S 
