Molecule: ./Bromo/rand_p5 
Step: remove fragment, Previous ligand: Cc1ccc(S(=O)(=O)n2c(N3CCCC3)c(C)c3ccccc32)cc1, New ligand: Cc1ccc(S(=O)(=O)n2c(N3CCCC3)c(C)c3ccccc32)cc1, Score: tensor([0.7116]) 
Step: remove fragment, Previous ligand: Cc1ccc(S(=O)(=O)n2c(N3CCCC3)c(C)c3ccccc32)cc1, New ligand: Cc1ccc(S(=O)(=O)n2c(N3CCCC3)c(C)c3ccccc32)cc1, Score: tensor([0.7116]) 
Step: remove fragment, Previous ligand: Cc1ccc(S(=O)(=O)n2c(N3CCCC3)c(C)c3ccccc32)cc1, New ligand: Cc1ccc(S(=O)(=O)n2c(N3CCCC3)c(C)c3ccccc32)cc1, Score: tensor([0.7116]) 
Step: remove fragment, Previous ligand: Cc1ccc(S(=O)(=O)n2c(N3CCCC3)c(C)c3ccccc32)cc1, New ligand: Cc1ccc(S(=O)(=O)n2c(N3CCCC3)c(C)c3ccccc32)cc1, Score: tensor([0.7116]) 
Step: add fragment, Previous ligand: [16*]c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [16*]c1c(O)cc2c3c1-c1cc(-c4cc(-n5c(=O)n(C)c(=O)c6c5ncn6CC)cc(O)c4-c4c(C)c5ccccc5n4S(=O)(=O)c4ccc(C)cc4)c(O)cc1C[C@@H]3N(C)CC2, Score: tensor([0.8119]) 
Step: remove fragment, Previous ligand: [16*]c1c(O)cc2c3c1-c1cc(-c4cc(-n5c(=O)n(C)c(=O)c6c5ncn6CC)cc(O)c4-c4c(C)c5ccccc5n4S(=O)(=O)c4ccc(C)cc4)c(O)cc1C[C@@H]3N(C)CC2, New ligand: [16*]c1cc2c(cc1O)C[C@H]1c3c(cc(O)c([16*])c3-2)CCN1C, Score: tensor([0.8108]) 
Step: remove fragment, Previous ligand: [16*]c1cc2c(cc1O)C[C@H]1c3c(cc(O)c([16*])c3-2)CCN1C, New ligand: [16*]c1cc2c(cc1O)C[C@H]1c3c(cc(O)c([16*])c3-2)CCN1C, Score: tensor([0.8108]) 
Step: add fragment, Previous ligand: [16*]c1cc2c(cc1O)C[C@H]1c3c(cc(O)c([16*])c3-2)CCN1C, New ligand: [16*]c1cc2c(cc1O)C[C@H]1c3c(cc(O)c([16*])c3-2)CCN1C, Score: tensor([0.8108]) 
Step: remove fragment, Previous ligand: [16*]c1cc2c(cc1O)C[C@H]1c3c(cc(O)c([16*])c3-2)CCN1C, New ligand: [16*]c1cc2c(cc1O)C[C@H]1c3c(cc(O)c([16*])c3-2)CCN1C, Score: tensor([0.8108]) 
Step: add fragment, Previous ligand: [16*]c1cc2c(cc1O)C[C@H]1c3c(cc(O)c([16*])c3-2)CCN1C, New ligand: [16*]c1cc2c(cc1O)C[C@H]1c3c(cc(O)c(-c4ccccc4[16*])c3-2)CCN1C, Score: tensor([0.7730]) 
