Molecule: ./Bromo/random_a2 
Step: add fragment, Previous ligand: [5*]N1CCc2ncnc(O[C@H]3C[C@@H](N4CCC([15*])CC4)[C@@H]([13*])O3)c2C1, New ligand: [13*][C@H]1O[C@@H](Oc2ncnc3c2CN(c2c(C)[nH]c([14*])c2C)CC3)C[C@H]1N1CCC([15*])CC1, Score: tensor([0.7928]) 
Step: add fragment, Previous ligand: [13*][C@H]1O[C@@H](Oc2ncnc3c2CN(c2c(C)[nH]c([14*])c2C)CC3)C[C@H]1N1CCC([15*])CC1, New ligand: [13*][C@H]1O[C@@H](Oc2ncnc3c2CN(c2c(C)[nH]c([14*])c2C)CC3)C[C@H]1N1CCC(c2ccc([16*])cn2)CC1, Score: tensor([0.7635]) 
Step: add fragment, Previous ligand: [13*][C@H]1O[C@@H](Oc2ncnc3c2CN(c2c(C)[nH]c([14*])c2C)CC3)C[C@H]1N1CCC(c2ccc([16*])cn2)CC1, New ligand: [11*]S[C@@H]1O[C@@H](Oc2ncnc3c2CN(c2c(C)[nH]c([14*])c2C)CC3)C[C@H]1N1CCC(c2ccc([16*])cn2)CC1, Score: tensor([0.7853]) 
Step: add fragment, Previous ligand: [11*]S[C@@H]1O[C@@H](Oc2ncnc3c2CN(c2c(C)[nH]c([14*])c2C)CC3)C[C@H]1N1CCC(c2ccc([16*])cn2)CC1, New ligand: [11*]S[C@@H]1O[C@@H](Oc2ncnc3c2CN(c2c(C)[nH]c(-c4ccccc4[16*])c2C)CC3)C[C@H]1N1CCC(c2ccc([16*])cn2)CC1, Score: tensor([0.6370]) 
Step: remove fragment, Previous ligand: [11*]S[C@@H]1O[C@@H](Oc2ncnc3c2CN(c2c(C)[nH]c(-c4ccccc4[16*])c2C)CC3)C[C@H]1N1CCC(c2ccc([16*])cn2)CC1, New ligand: [14*]c1ncnc2c1CN(c1c(C)[nH]c(-c3ccccc3[16*])c1C)CC2, Score: tensor([0.8166]) 
Step: remove fragment, Previous ligand: [14*]c1ncnc2c1CN(c1c(C)[nH]c(-c3ccccc3[16*])c1C)CC2, New ligand: [14*]c1ncnc2c1CN(c1c(C)[nH]c(-c3ccccc3[16*])c1C)CC2, Score: tensor([0.8166]) 
Step: add fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8770]) 
Step: add fragment, Previous ligand: [10*]N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [7*]C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.7883]) 
Step: add fragment, Previous ligand: [7*]C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [7*]C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.7883]) 
Step: add fragment, Previous ligand: [7*]C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [16*]c1ccccc1[S+]([O-])CC=C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.7487]) 
