Molecule: ./Bromo/rand_n10 
Step: remove fragment, Previous ligand: [1*]C(=O)C(C)(C)C([8*])[8*], New ligand: [1*]C(=O)C(C)(C)C([8*])[8*], Score: tensor([0.5186]) 
Step: add fragment, Previous ligand: [8*]CCc1cc(-c2c(O)c(C)cc([N+](=O)[O-])c2-n2cnc3c2c(=O)n(C)c(=O)n3C(C2CCCCC2)C(C)(C)C(=O)OC)c2ccc(Cl)cc2n1, New ligand: [9*]n1ncc2c(CCc3cc(-c4c(O)c(C)cc([N+](=O)[O-])c4-n4cnc5c4c(=O)n(C)c(=O)n5C(C4CCCCC4)C(C)(C)C(=O)OC)c4ccc(Cl)cc4n3)ncnc21, Score: tensor([0.7032]) 
Step: remove fragment, Previous ligand: [9*]n1ncc2c(CCc3cc(-c4c(O)c(C)cc([N+](=O)[O-])c4-n4cnc5c4c(=O)n(C)c(=O)n5C(C4CCCCC4)C(C)(C)C(=O)OC)c4ccc(Cl)cc4n3)ncnc21, New ligand: [9*]n1ncc2c(CCc3cc(-c4c(O)c(C)cc([N+](=O)[O-])c4-n4cnc5c4c(=O)n(C)c(=O)n5C(C4CCCCC4)C(C)(C)C(=O)OC)c4ccc(Cl)cc4n3)ncnc21, Score: tensor([0.7032]) 
Step: add fragment, Previous ligand: [9*]n1ncc2c(CCc3cc(-c4c(O)c(C)cc([N+](=O)[O-])c4-n4cnc5c4c(=O)n(C)c(=O)n5C(C4CCCCC4)C(C)(C)C(=O)OC)c4ccc(Cl)cc4n3)ncnc21, New ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc(-c7c(O)c(C)cc([N+](=O)[O-])c7-n7cnc8c7c(=O)n(C)c(=O)n8C(C7CCCCC7)C(C)(C)C(=O)OC)c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, Score: tensor([0.7607]) 
Step: remove fragment, Previous ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc(-c7c(O)c(C)cc([N+](=O)[O-])c7-n7cnc8c7c(=O)n(C)c(=O)n8C(C7CCCCC7)C(C)(C)C(=O)OC)c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, New ligand: [8*]C(n1c(=O)n(C)c(=O)c2c1ncn2-c1c([N+](=O)[O-])cc(C)c(O)c1-c1cc(CCc2ncnc3c2cnn3-c2cc3oc4cc([16*])c(F)cc4c(=O)c3cc2F)nc2cc(Cl)ccc12)C(C)(C)C(=O)OC, Score: tensor([0.7641]) 
Step: remove fragment, Previous ligand: [8*]C(n1c(=O)n(C)c(=O)c2c1ncn2-c1c([N+](=O)[O-])cc(C)c(O)c1-c1cc(CCc2ncnc3c2cnn3-c2cc3oc4cc([16*])c(F)cc4c(=O)c3cc2F)nc2cc(Cl)ccc12)C(C)(C)C(=O)OC, New ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc([16*])c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, Score: tensor([0.7483]) 
Step: add fragment, Previous ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc([16*])c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, New ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc([16*])c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, Score: tensor([0.7483]) 
Step: add fragment, Previous ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc([16*])c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, New ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc([16*])c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, Score: tensor([0.7483]) 
Step: remove fragment, Previous ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc([16*])c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, New ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc([16*])c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, Score: tensor([0.7483]) 
Step: add fragment, Previous ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc([16*])c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, New ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc([16*])c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, Score: tensor([0.7483]) 
Step: add fragment, Previous ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc([16*])c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, New ligand: [16*]c1cc2oc3cc(-n4ncc5c(CCc6cc([16*])c7ccc(Cl)cc7n6)ncnc54)c(F)cc3c(=O)c2cc1F, Score: tensor([0.7483]) 
