Molecule: ./Bromo/specific_frags_2.txt 
Step: add fragment, Previous ligand: [1*]C(C)=O, New ligand: [9*]n1cc([16*])c2sc(C(=[NH2+])NC(C)=O)cc2c1=O, Score: tensor([0.8811]) 
Step: add fragment, Previous ligand: [8*]C(C)c1ccccc1-c1cn(C)c(=O)c2[nH]ccc12, New ligand: [12*]S(=O)(=O)c1ccc(O)c(C(C)c2ccccc2-c2cn(C)c(=O)c3[nH]ccc23)c1, Score: tensor([0.8730]) 
Step: add fragment, Previous ligand: [12*]S(=O)(=O)c1ccc(O)c(C(C)c2ccccc2-c2cn(C)c(=O)c3[nH]ccc23)c1, New ligand: [13*][C@@H]1CCCCN1S(=O)(=O)c1ccc(O)c(C(C)c2ccccc2-c2cn(C)c(=O)c3[nH]ccc23)c1, Score: tensor([0.8597]) 
Step: add fragment, Previous ligand: [13*][C@@H]1CCCCN1S(=O)(=O)c1ccc(O)c(C(C)c2ccccc2-c2cn(C)c(=O)c3[nH]ccc23)c1, New ligand: [15*][C@H]1CC[N@@H+]([C@H]2CCCCN2S(=O)(=O)c2ccc(O)c(C(C)c3ccccc3-c3cn(C)c(=O)c4[nH]ccc34)c2)CC1, Score: tensor([0.8651]) 
Step: add fragment, Previous ligand: [15*][C@H]1CC[N@@H+]([C@H]2CCCCN2S(=O)(=O)c2ccc(O)c(C(C)c3ccccc3-c3cn(C)c(=O)c4[nH]ccc34)c2)CC1, New ligand: Cc1nnc2ccc([C@H]3CC[N@H+]([C@H]4CCCCN4S(=O)(=O)c4ccc(O)c(C(C)c5ccccc5-c5cn(C)c(=O)c6[nH]ccc56)c4)CC3)nn12, Score: tensor([0.8345]) 
Step: remove fragment, Previous ligand: Cc1nnc2ccc([C@H]3CC[N@H+]([C@H]4CCCCN4S(=O)(=O)c4ccc(O)c(C(C)c5ccccc5-c5cn(C)c(=O)c6[nH]ccc56)c4)CC3)nn12, New ligand: [16*]c1cc(S(=O)(=O)N2CCCC[C@@H]2[N@H+]2CC[C@H](c3ccc4nnc(C)n4n3)CC2)ccc1O, Score: tensor([0.8369]) 
Step: add fragment, Previous ligand: [16*]c1cc(S(=O)(=O)N2CCCC[C@@H]2[N@H+]2CC[C@H](c3ccc4nnc(C)n4n3)CC2)ccc1O, New ligand: [12*]S(=O)(=O)c1ccccc1-c1cc(S(=O)(=O)N2CCCC[C@@H]2[N@H+]2CC[C@H](c3ccc4nnc(C)n4n3)CC2)ccc1O, Score: tensor([0.8287]) 
Step: add fragment, Previous ligand: [12*]S(=O)(=O)c1ccccc1-c1cc(S(=O)(=O)N2CCCC[C@@H]2[N@H+]2CC[C@H](c3ccc4nnc(C)n4n3)CC2)ccc1O, New ligand: [5*]N(C)S(=O)(=O)c1ccccc1-c1cc(S(=O)(=O)N2CCCC[C@@H]2[N@H+]2CC[C@H](c3ccc4nnc(C)n4n3)CC2)ccc1O, Score: tensor([0.8284]) 
Step: remove fragment, Previous ligand: [5*]N(C)S(=O)(=O)c1ccccc1-c1cc(S(=O)(=O)N2CCCC[C@@H]2[N@H+]2CC[C@H](c3ccc4nnc(C)n4n3)CC2)ccc1O, New ligand: [5*]N(C)S(=O)(=O)c1ccccc1[16*], Score: tensor([0.6185]) 
Step: add fragment, Previous ligand: [5*]N(C)S(=O)(=O)c1ccccc1[16*], New ligand: [16*]c1ccccc1S(=O)(=O)N(C)c1ccc(O)c(Cl)c1, Score: tensor([0.7560]) 
Step: remove fragment, Previous ligand: [16*]c1ccccc1S(=O)(=O)N(C)c1ccc(O)c(Cl)c1, New ligand: [16*]c1ccc(O)c(Cl)c1, Score: tensor([0.7148]) 
Step: add fragment, Previous ligand: [16*]c1ccc(O)c(Cl)c1, New ligand: [16*]c1ccc(O)c(Cl)c1, Score: tensor([0.7148]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(O)c(Cl)c1, New ligand: [16*]c1ccc(O)c(Cl)c1, Score: tensor([0.7148]) 
Step: add fragment, Previous ligand: [16*]c1ccc(O)c(Cl)c1, New ligand: Oc1ccc([C@@H]2CCCO2)cc1Cl, Score: tensor([0.7956]) 
Step: remove fragment, Previous ligand: [16*]c1ccccc1-c1cn(C)c(=O)c2[nH]ccc12, New ligand: [16*]c1ccccc1-c1cn(C)c(=O)c2[nH]ccc12, Score: tensor([0.9030]) 
Step: add fragment, Previous ligand: [16*]c1ccccc1-c1cn(C)c(=O)c2[nH]ccc12, New ligand: [8*]C(C)c1ccccc1-c1cn(C)c(=O)c2[nH]ccc12, Score: tensor([0.9021]) 
Step: remove fragment, Previous ligand: [8*]C(C)c1ccccc1-c1cn(C)c(=O)c2[nH]ccc12, New ligand: [8*]C(C)c1ccccc1-c1cn(C)c(=O)c2[nH]ccc12, Score: tensor([0.9021]) 
Step: remove fragment, Previous ligand: [8*]C(C)c1ccccc1-c1cn(C)c(=O)c2[nH]ccc12, New ligand: [16*]c1cn(C)c(=O)c2[nH]ccc12, Score: tensor([0.8875]) 
Step: add fragment, Previous ligand: [16*]c1cn(C)c(=O)c2[nH]ccc12, New ligand: Cn1cc([NH+]2CCC(F)(F)CC2)c2cc[nH]c2c1=O, Score: tensor([0.9035]) 
Step: remove fragment, Previous ligand: Cn1cc([NH+]2CCC(F)(F)CC2)c2cc[nH]c2c1=O, New ligand: Cn1cc([NH+]2CCC(F)(F)CC2)c2cc[nH]c2c1=O, Score: tensor([0.9035]) 
Step: remove fragment, Previous ligand: Cn1cc([NH+]2CCC(F)(F)CC2)c2cc[nH]c2c1=O, New ligand: Cn1cc([NH+]2CCC(F)(F)CC2)c2cc[nH]c2c1=O, Score: tensor([0.9035]) 
Step: remove fragment, Previous ligand: Cn1cc([NH+]2CCC(F)(F)CC2)c2cc[nH]c2c1=O, New ligand: Cn1cc([NH+]2CCC(F)(F)CC2)c2cc[nH]c2c1=O, Score: tensor([0.9035]) 
Step: remove fragment, Previous ligand: Cn1cc([NH+]2CCC(F)(F)CC2)c2cc[nH]c2c1=O, New ligand: Cn1cc([NH+]2CCC(F)(F)CC2)c2cc[nH]c2c1=O, Score: tensor([0.9035]) 
Step: remove fragment, Previous ligand: Cn1cc([NH+]2CCC(F)(F)CC2)c2cc[nH]c2c1=O, New ligand: [16*]c1cn(C)c(=O)c2[nH]ccc12, Score: tensor([0.8877]) 
Step: add fragment, Previous ligand: [16*]c1cn(C)c(=O)c2[nH]ccc12, New ligand: [9*]n1cnc(-c2cn(C)c(=O)c3[nH]ccc23)c1[14*], Score: tensor([0.9049]) 
